Value	Level1	Level2
251	Group1	GroupC
208	Group1	GroupC
223	Group1	GroupC
125	Group2	GroupC
129	Group2	GroupC
93	Group2	GroupD
202	Group3	GroupA
136	Group3	GroupC
140	Group3	GroupA
154	Group3	GroupC
177	Group3	GroupA
111	Group3	GroupA
136	Group3	GroupA
170	Group3	GroupA
124	Group3	GroupC
102	Group2	GroupC
154	Group3	GroupA
120	Group1	GroupC
135	Group2	GroupC
93	Group1	GroupA
117	Group3	GroupD
155	Group3	GroupA
143	Group1	GroupB
99	Group3	GroupB
188	Group3	GroupA
137	Group1	GroupA
131	Group3	GroupA
154	Group3	GroupA
99	Group3	GroupD
102	Group3	GroupD
127	Group1	GroupC
133	Group1	GroupC
145	Group1	GroupA
106	Group1	GroupD
89	Group3	GroupD
142	Group3	GroupA
107	Group3	GroupC
138	Group3	GroupA
116	Group2	GroupC
84	Group3	GroupD
90	Group1	GroupD
92	Group3	GroupD
99	Group3	GroupB
138	Group1	GroupA
116	Group1	GroupD
171	Group1	GroupA
96	Group3	GroupB
134	Group1	GroupA
109	Group3	GroupA
103	Group3	GroupD
99	Group3	GroupC
103	Group3	GroupD
146	Group3	GroupA
108	Group1	GroupD
90	Group1	GroupB
121	Group1	GroupC
119	Group1	GroupA
108	Group1	GroupA
130	Group3	GroupD
131	Group3	GroupA
97	Group3	GroupD
97	Group3	GroupA
106	Group1	GroupC
98	Group3	GroupB
114	Group3	GroupB
92	Group2	GroupD
104	Group1	GroupC
98	Group3	GroupD
110	Group3	GroupD
95	Group3	GroupC
91	Group3	GroupD
102	Group2	GroupD
120	Group3	GroupD
86	Group2	GroupD
139	Group3	GroupA
113	Group2	GroupC
170	Group3	GroupA
82	Group1	GroupD
116	Group3	GroupA
96	Group3	GroupD
131	Group3	GroupA
133	Group3	GroupA
126	Group1	GroupA
90	Group3	GroupD
116	Group3	GroupC
138	Group3	GroupC
116	Group3	GroupC
151	Group2	GroupC
162	Group3	GroupA
143	Group3	GroupA
94	Group1	GroupB
131	Group3	GroupC
95	Group2	GroupD
110	Group3	GroupA
106	Group3	GroupD
115	Group1	GroupC
77	Group3	GroupD
145	Group3	GroupA
108	Group1	GroupD
95	Group3	GroupD
136	Group3	GroupA
121	Group3	GroupC
126	Group3	GroupA
120	Group2	GroupC
97	Group3	GroupD
116	Group3	GroupD
110	Group2	GroupD
111	Group1	GroupC
104	Group3	GroupD
90	Group1	GroupA
145	Group3	GroupA
109	Group3	GroupC
95	Group3	GroupD
110	Group3	GroupC
106	Group3	GroupC
108	Group3	GroupB
130	Group1	GroupC
92	Group1	GroupD
136	Group1	GroupB
98	Group1	GroupB
95	Group3	GroupD
164	Group3	GroupA
133	Group3	GroupA
140	Group3	GroupA
106	Group3	GroupD
95	Group3	GroupC
117	Group3	GroupA
132	Group1	GroupC
108	Group3	GroupD
95	Group3	GroupB
108	Group2	GroupD
92	Group3	GroupD
120	Group1	GroupA
93	Group1	GroupB
110	Group1	GroupB
129	Group3	GroupC
121	Group1	GroupC
109	Group3	GroupD
108	Group3	GroupC
118	Group3	GroupA
92	Group1	GroupD
101	Group1	GroupD
136	Group1	GroupA
117	Group1	GroupD
110	Group1	GroupC
131	Group2	GroupC
139	Group3	GroupA
123	Group1	GroupA
125	Group3	GroupC
104	Group1	GroupD
95	Group1	GroupB
91	Group3	GroupB
132	Group1	GroupB
86	Group1	GroupD
120	Group3	GroupA
115	Group1	GroupD
124	Group1	GroupB
158	Group1	GroupD
112	Group1	GroupD
104	Group1	GroupB
86	Group1	GroupB
106	Group2	GroupC
116	Group1	GroupA
116	Group1	GroupA
118	Group3	GroupB
85	Group1	GroupD
97	Group1	GroupD
94	Group1	GroupC
133	Group1	GroupC
117	Group3	GroupB
109	Group3	GroupA
98	Group1	GroupD
94	Group1	GroupD
104	Group3	GroupD
131	Group3	GroupA
96	Group1	GroupD
87	Group3	GroupD
133	Group2	GroupC
119	Group1	GroupC
124	Group3	GroupA
105	Group3	GroupD
103	Group3	GroupD
109	Group3	GroupA
103	Group3	GroupA
98	Group3	GroupD
124	Group1	GroupA
119	Group3	GroupA
109	Group3	GroupD
90	Group3	GroupC
94	Group1	GroupD
85	Group1	GroupC
127	Group3	GroupB
88	Group3	GroupD
108	Group1	GroupD
125	Group3	GroupC
102	Group3	GroupC
111	Group3	GroupD
101	Group1	GroupD
115	Group3	GroupC
135	Group3	GroupA
