Value	Level1	Level2
4.0	Group1	GroupA
11.0	Group1	GroupA
7.5	Group1	GroupA
5.5	Group1	GroupA
6.5	Group1	GroupA
10.0	Group1	GroupA
11.0	Group1	GroupA
11.0	Group1	GroupA
5.0	Group1	GroupA
7.5	Group1	GroupA
16.0	Group2	GroupA
16.0	Group2	GroupA
15.5	Group2	GroupA
17.5	Group2	GroupA
22.5	Group2	GroupA
17.5	Group2	GroupA
13.5	Group2	GroupA
14.0	Group2	GroupA
18.0	Group2	GroupA
15.5	Group2	GroupA
23.5	Group3	GroupA
18.0	Group3	GroupA
33.0	Group3	GroupA
30.0	Group3	GroupA
26.5	Group3	GroupA
32.5	Group3	GroupA
26.5	Group3	GroupA
21.5	Group3	GroupA
23.5	Group3	GroupA
29.5	Group3	GroupA
15.5	Group1	GroupB
21.5	Group1	GroupB
17.5	Group1	GroupB
9.7	Group1	GroupB
14.5	Group1	GroupB
10.0	Group1	GroupB
8.2	Group1	GroupB
9.4	Group1	GroupB
16.5	Group1	GroupB
9.7	Group1	GroupB
19.7	Group2	GroupB
23.3	Group2	GroupB
23.6	Group2	GroupB
26.4	Group2	GroupB
30.0	Group2	GroupB
25.5	Group2	GroupB
25.5	Group2	GroupB
21.5	Group2	GroupB
14.5	Group2	GroupB
27.5	Group2	GroupB
25.5	Group3	GroupB
26.5	Group3	GroupB
22.5	Group3	GroupB
24.5	Group3	GroupB
24.5	Group3	GroupB
30.5	Group3	GroupB
26.0	Group3	GroupB
27.0	Group3	GroupB
29.0	Group3	GroupB
23.0	Group3	GroupB
