Xvalue	Yvalue	Population	Continent
4959.114854	72.961	1318683096	Asia
2452.210407	64.698	1110396331	Asia
42951.65309	78.242	301139947	Americas
3540.651564	70.65	223547000	Asia
9065.800825	72.39	190010647	Americas
2605.94758	65.483	169270617	Asia
1391.253792	64.062	150448339	Asia
2013.977305	46.859	135031164	Africa
31656.06806	82.603	127467972	Asia
11977.57496	76.195	108700891	Americas
3190.481016	71.688	91077287	Asia
2441.576404	74.249	85262356	Asia
32170.37442	79.406	82400996	Europe
5581.180998	71.338	80264543	Africa
690.8055759	52.947	76511887	Africa
8458.276384	71.777	71158647	Europe
11605.71449	70.964	69453570	Asia
7458.396327	70.616	65068149	Asia
277.5518587	46.462	64606759	Africa
30470.0167	80.657	61083916	Europe
33203.26128	79.425	60776238	Europe
28569.7197	80.546	58147733	Europe
23348.13973	78.623	49044790	Asia
944	62.069	47761980	Asia
7006.580419	72.889	44227550	Americas
9269.657808	49.339	43997828	Africa
2602.394995	58.556	42292929	Africa
28821.0637	80.941	40448191	Europe
12779.37964	75.32	40301927	Americas
15389.92468	75.563	38518241	Europe
1107.482182	52.517	38139640	Africa
1463.249282	54.11	35610177	Africa
3820.17523	71.164	33757175	Africa
36319.23501	80.653	33390141	Americas
6223.367465	72.301	33333216	Africa
974.5803384	43.828	31889923	Asia
1056.380121	51.542	29170398	Africa
1091.359778	63.785	28901790	Asia
7408.905561	71.421	28674757	Americas
21654.83194	72.777	27601038	Asia
4471.061906	59.545	27499638	Asia
11415.80569	73.747	26084662	Americas
12451.6558	74.241	24821286	Asia
1593.06548	67.297	23301725	Asia
28718.27684	78.4	23174294	Asia
1327.60891	60.022	22873338	Africa
10808.47561	72.476	22276056	Europe
2280.769906	62.698	22211743	Asia
34435.36744	81.235	20434176	Oceania
3970.095407	72.396	20378239	Asia
823.6856205	42.082	19951656	Africa
4184.548089	74.143	19314747	Asia
1044.770126	59.443	19167654	Africa
1544.750112	48.328	18013409	Africa
2042.09524	50.43	17696293	Africa
36797.93332	79.762	16570613	Europe
13171.63885	78.553	16284741	Americas
1217.032994	52.295	14326203	Africa
1713.778686	59.723	14131858	Asia
6873.262326	74.994	13755680	Americas
759.3499101	48.303	13327079	Africa
619.6768924	56.867	12894865	Africa
5186.050003	70.259	12572928	Americas
4797.231267	42.731	12420476	Africa
469.7092981	43.487	12311143	Africa
1712.472136	63.062	12267493	Africa
1042.581557	54.467	12031795	Africa
1271.211593	42.384	11746035	Africa
8948.102923	78.273	11416987	Americas
27538.41188	79.483	10706290	Europe
20509.64777	78.098	10642836	Europe
33692.60508	79.441	10392226	Europe
7092.923025	73.923	10276158	Africa
1704.063724	50.651	10238807	Africa
22833.30851	76.486	10228744	Europe
9786.534714	74.002	10150265	Europe
18008.94444	73.338	9956108	Europe
942.6542111	56.007	9947814	Africa
6025.374752	72.235	9319622	Americas
3822.137084	65.554	9119152	Americas
926.1410683	48.159	9118773	Africa
33859.74835	80.884	9031088	Europe
863.0884639	46.242	8860588	Africa
1201.637154	60.916	8502814	Americas
430.0706916	49.58	8390505	Africa
36126.4927	79.829	8199783	Europe
1441.284873	56.728	8078314	Africa
37506.41907	81.701	7554661	Europe
3548.330846	70.198	7483763	Americas
10680.79282	73.005	7322858	Europe
39724.97867	82.208	6980412	Asia
5728.353514	71.878	6939688	Americas
4172.838464	71.752	6667147	Americas
25523.2771	80.745	6426679	Asia
862.5407561	42.568	6144562	Africa
4519.461171	72.535	6053193	Asia
12057.49928	73.952	6036914	Africa
882.9699438	58.42	5701579	Africa
2749.320965	72.899	5675356	Americas
35278.41874	78.332	5468120	Europe
18678.31435	74.663	5447502	Europe
33207.0844	79.313	5238460	Europe
641.3695236	58.04	4906585	Africa
49357.19017	80.196	4627926	Europe
47143.17964	79.972	4553009	Asia
7446.298803	74.852	4552198	Europe
14619.22272	75.748	4493312	Europe
706.016537	44.741	4369038	Africa
9645.06142	78.782	4133884	Americas
25185.00911	80.204	4115771	Oceania
40675.99635	78.885	4109086	Europe
3025.349798	73.422	4018332	Asia
19328.70901	78.746	3942491	Americas
10461.05868	71.993	3921278	Asia
3632.557798	55.322	3800610	Africa
5937.029526	76.423	3600523	Europe
10611.46299	76.384	3447496	Americas
1803.151496	64.164	3270065	Africa
9809.185636	75.537	3242173	Americas
22316.19287	75.64	3204897	Asia
414.5073415	45.678	3193942	Africa
3095.772271	66.803	2874127	Asia
7320.880262	72.567	2780132	Americas
47306.98978	77.588	2505559	Asia
4811.060429	52.906	2055080	Africa
1569.331442	42.592	2012649	Africa
25768.25759	77.926	2009245	Europe
752.7497265	59.448	1688359	Africa
12569.85177	50.728	1639131	Africa
579.231743	46.388	1472041	Africa
13206.48452	56.735	1454867	Africa
10956.99112	72.801	1250882	Africa
4513.480643	39.613	1133066	Africa
18008.50924	69.819	1056608	Americas
7670.122558	76.442	798094	Africa
986.1478792	65.152	710960	Africa
29796.04834	75.635	708573	Asia
9253.896111	74.543	684736	Europe
12154.08975	51.579	551201	Africa
2082.481567	54.791	496374	Africa
36180.78919	81.757	301931	Europe
1598.435089	65.528	199579	Africa
