chr	po	NAME	TCGA.A1.A0SK.01A	TCGA.A1.A0SO.01A	TCGA.A2.A04W.01A	TCGA.A2.A0D0.01A	TCGA.A2.A0D1.01A	TCGA.A2.A0EQ.01A
10	122272906	PPAPDC1A	-0.809	0.224	1.639	-2.379	0.214	-0.377
15	46973079	SHC4	-0.704	3.656	1.631	0.832	-0.505	-0.651
19	63014177	ZNF552	-3.116	0.417	0.24	-3.07	-1.252	-1.879
1	67590402.5	IL12RB2	3.42	4.054	-0.141	2.417	2.78	2.338
16	8750129.5	ABAT	-3.165	-1.88	-0.981	-3.328	-0.896	-2.019
8	87486701.5	WWP1	-1.713	-2.314	-1.345	-1.52	-0.62	0.389
1	201418613	CHI3L1	-2.723	-0.08	-0.579	2.08	-2.587	0.947
18	55720344.5	PMAIP1	1.216	-0.861	-2.003	-2.178	-1.864	-1.089
9	2628138.5	VLDLR	1.997	-0.688	1.827	0.864	0.689	-0.487
18	26918162.5	DSC2	-0.134	2.689	1.405	0.951	1.525	1.336
11	88780735	NOX4	-0.978	-2.1	0.987	-2.972	-0.411	-1.823
3	158640692	PTX3	2.945	2.293	-0.041	4.522	-1.489	-0.479
1	89504176.5	GBP5	-2.4	0.527	-0.431	1.415	-0.372	1.916
9	80118353.5	PSAT1	5.008	3.423	4.101	3.703	2.111	3.181
17	34627940	STAC2	-0.053	3.261	1.928	3.586	-1.332	-1.038
8	101114985.5	RGS22	-3.07	-2.675	-1.247	-2.515	-2.88	-0.595
2	219195442	PLCD4	-1.082	-1.952	-0.124	-1.502	0.829	0.07
18	50680225	RAB27B	-3.224	-1.95	1.695	-3.714	1.78	1.465
7	16775280.5	TSPAN13	-1.03	-0.215	1.151	-2.125	-0.805	-0.922
14	23795207.5	TGM1	-0.562	1.093	-0.757	3.003	-0.001	0.838
17	72141964	ST6GALNAC1	-1.454	-0.856	2.482	-0.665	-0.572	-0.338
4	74954927.5	CXCL1	1.969	0.517	4.676	6.028	-2.203	1.85
19	51349870	IGFL2	-0.815	-1.189	3.677	-1.865	2.339	0.868
6	150749589	IYD	-2.218	-0.86	3.524	-0.999	1.38	0.675
5	59980122.5	DEPDC1B	0.977	1.522	0.104	1.399	0.409	0.857
6	135563074.5	MYB	1.821	-2.714	-2.518	-4.584	-1.721	-0.657
4	96098387	BMPR1B	-0.634	-1.313	0.148	0.311	-1.886	0.145
1	155047961	SH2D2A	0.987	2.055	-0.091	1.444	-0.454	2.084
4	47655528.5	CNGA1	1.354	1.711	1.325	-0.967	-1.474	-1.345
