id	log2FC
gene_5	-1.2
gene_12	-1.25
gene_15	-1.3
gene_22	-1.35
gene_28	-1.4
gene_33	-1.45
gene_35	-1.5
gene_42	-1.55
gene_55	-1.6
gene_56	-1.65
gene_57	-1.7
gene_58	-1.75
gene_72	-1.8
gene_73	-1.85
gene_88	-1.9
gene_89	-1.95
gene_90	-2
gene_91	-2.05
gene_92	-2.1
gene_112	-2.15
gene_113	-2.2
gene_158	-2.25
gene_159	-2.3
gene_168	-2.35
gene_169	-2.4
gene_189	1.2
gene_190	1.25
gene_219	1.3
gene_220	1.35
gene_240	1.4
gene_241	1.45
gene_242	1.5
gene_274	1.55
gene_275	1.6
gene_276	1.65
gene_285	1.7
gene_286	1.75
gene_287	1.8
gene_301	1.85
gene_302	1.9
gene_303	1.95
gene_383	2
gene_384	2.05
gene_385	2.1
gene_458	2.15
gene_459	2.2
gene_460	2.25
gene_479	2.3
gene_480	2.35
gene_557	2.4
