	name	baseMean	log2FoldChange	padj
ENSG00000000003	TSPAN6	0.118447482	0	NA
ENSG00000000419	DPM1	1654.461814	0.678953771	0.052808016
ENSG00000000457	SCYL3	681.0463277	1.526383849	3.92E-07
ENSG00000000460	C1orf112	389.722664	3.893357254	1.18E-14
ENSG00000000938	FGR	364.781009	-2.355401432	0.000155923
ENSG00000000971	CFH	1.1346239	1.293273955	0.449181152
ENSG00000001036	FUCA2	901.526675	2.472712041	9.44E-13
ENSG00000001084	GCLC	805.5154071	0.058937101	0.912972504
ENSG00000001167	NFYA	954.2590271	1.069204156	4.61E-05
ENSG00000001460	STPG1	80.90908298	1.824566766	3.55E-06
ENSG00000001461	NIPAL3	842.8575626	1.752225381	2.33E-06
ENSG00000001497	LAS1L	1571.029705	0.837627073	0.007707308
ENSG00000001561	ENPP4	782.9695613	0.29778994	0.567318442
ENSG00000001617	SEMA3F	9.45645121	-2.66825559	0.000653091
ENSG00000001626	CFTR	0.260661844	0	NA
ENSG00000001629	ANKIB1	1826.909474	0.488079185	0.120788224
ENSG00000001630	CYP51A1	177.2813892	1.533059543	9.94E-05
ENSG00000001631	KRIT1	824.031696	0.835887563	0.001701735
ENSG00000002016	RAD52	156.3573448	1.529274593	0.000971718
ENSG00000002079	MYH16	0.775549639	-1.817485623	0.343094227
ENSG00000002330	BAD	198.8859943	0.834163613	0.036290221
ENSG00000002549	LAP3	7797.911698	1.932676101	1.68E-08
ENSG00000002586	CD99	2766.49093	1.128562347	0.004870229
ENSG00000002587	HS3ST1	6.415308408	-4.488470065	2.37E-05
ENSG00000002726	AOC1	0.74815835	-0.930109867	0.642926503
ENSG00000002745	WNT16	65.3691834	-2.190924765	0.001990012
ENSG00000002746	HECW1	0.445437357	0.940635304	0.642281943
ENSG00000002822	MAD1L1	485.0009743	0.900451195	0.056424957
ENSG00000002834	LASP1	4455.104288	0.28511493	0.5860821
ENSG00000002919	SNX11	903.8772701	-0.844030884	0.031378301
ENSG00000002933	TMEM176A	0.252245458	-0.262544146	NA
ENSG00000003056	M6PR	2812.978962	2.471599166	2.20E-13
ENSG00000003096	KLHL13	1.772720046	0.801692112	0.665274424
ENSG00000003137	CYP26B1	0.570900171	-0.826268187	0.686098457
ENSG00000003147	ICA1	10.2319677	4.012781971	7.49E-05
ENSG00000003249	DBNDD1	7.954391482	-2.849259998	0.00757873
ENSG00000003393	ALS2	406.4344468	0.852605231	0.000501546
ENSG00000003400	CASP10	4231.43086	1.44771382	5.50E-05
ENSG00000003402	CFLAR	6812.009101	-0.249724034	0.263259967
ENSG00000003509	NDUFAF7	398.7262209	-0.205254666	0.582379196
ENSG00000003756	RBM5	3001.475521	-1.479190802	5.53E-05
ENSG00000003987	MTMR7	36.47999434	-2.167643349	0.000105138
ENSG00000003989	SLC7A2	0.241398146	-1.811605953	NA
ENSG00000004059	ARF5	1098.290167	0.352160167	0.219052865
ENSG00000004139	SARM1	77.91494824	-0.396529867	0.466056708
ENSG00000004142	POLDIP2	2331.341973	1.871604713	4.35E-07
ENSG00000004399	PLXND1	183.9733136	-4.920993996	3.14E-19
ENSG00000004455	AK2	3600.489179	3.565706727	7.22E-63
ENSG00000004468	CD38	6463.474408	0.523697601	0.277762873
ENSG00000004478	FKBP4	1732.95228	3.19560745	2.54E-17
ENSG00000004487	KDM1A	1816.153515	0.690981853	0.018412825
ENSG00000004534	RBM6	3674.257377	-0.544765097	0.090898384
ENSG00000004660	CAMKK1	508.7846832	-5.23353107	1.38E-59
ENSG00000004700	RECQL	1644.104205	1.577231141	2.03E-06
ENSG00000004766	CCDC132	646.6861931	0.839436933	5.94E-05
ENSG00000004776	HSPB6	0.378131842	1.011258928	NA
ENSG00000004777	ARHGAP33	216.0667425	0.996058612	0.044447594
ENSG00000004779	NDUFAB1	2094.305142	2.671031658	2.50E-09
ENSG00000004799	PDK4	31.54743987	-5.646885582	NA
ENSG00000004838	ZMYND10	29.88249155	-0.594884135	0.441731265
ENSG00000004846	ABCB5	0.120699073	-1.388521157	NA
ENSG00000004848	ARX	0.848214466	1.3563951	0.49152954
ENSG00000004864	SLC25A13	328.2336321	-0.726011596	0.023921877
ENSG00000004866	ST7	498.7863988	0.786450649	0.116448054
ENSG00000004897	CDC27	3687.062872	0.56189777	0.080349693
ENSG00000004939	SLC4A1	1.092572564	-3.386960461	NA
ENSG00000004961	HCCS	754.6751743	0.557781587	0.058282904
ENSG00000004975	DVL2	812.6138273	0.332146018	0.411141009
ENSG00000005001	PRSS22	0.141468671	-1.584240975	NA
ENSG00000005007	UPF1	3346.108573	-0.255171211	0.497448495
ENSG00000005020	SKAP2	1535.510671	2.187545462	1.38E-09
ENSG00000005022	SLC25A5	9199.910911	1.511145889	1.56E-05
