from	to
origin	group1
origin	group2
origin	group3
origin	group4
origin	group5
origin	group6
origin	group7
origin	group8
group1	subgroup_1
group1	subgroup_2
group1	subgroup_3
group1	subgroup_4
group1	subgroup_5
group1	subgroup_6
group1	subgroup_7
group1	subgroup_8
group1	subgroup_9
group1	subgroup_10
group2	subgroup_11
group2	subgroup_12
group2	subgroup_13
group2	subgroup_14
group2	subgroup_15
group2	subgroup_16
group2	subgroup_17
group2	subgroup_18
group2	subgroup_19
group2	subgroup_20
group3	subgroup_21
group3	subgroup_22
group3	subgroup_23
group3	subgroup_24
group3	subgroup_25
group3	subgroup_26
group3	subgroup_27
group3	subgroup_28
group3	subgroup_29
group3	subgroup_30
group4	subgroup_31
group4	subgroup_32
group4	subgroup_33
group4	subgroup_34
group4	subgroup_35
group4	subgroup_36
group4	subgroup_37
group4	subgroup_38
group4	subgroup_39
group4	subgroup_40
group5	subgroup_41
group5	subgroup_42
group5	subgroup_43
group5	subgroup_44
group5	subgroup_45
group5	subgroup_46
group5	subgroup_47
group5	subgroup_48
group5	subgroup_49
group5	subgroup_50
group6	subgroup_51
group6	subgroup_52
group6	subgroup_53
group6	subgroup_54
group6	subgroup_55
group6	subgroup_56
group6	subgroup_57
group6	subgroup_58
group6	subgroup_59
group6	subgroup_60
group7	subgroup_61
group7	subgroup_62
group7	subgroup_63
group7	subgroup_64
group7	subgroup_65
group7	subgroup_66
group7	subgroup_67
group7	subgroup_68
group7	subgroup_69
group7	subgroup_70
group8	subgroup_71
group8	subgroup_72
group8	subgroup_73
group8	subgroup_74
group8	subgroup_75
group8	subgroup_76
group8	subgroup_77
group8	subgroup_78
group8	subgroup_79
group8	subgroup_80
