name	value	group
origin	0.594764366	NA
group1	0.563601074	origin
group2	0.9530429	origin
group3	0.289799681	origin
group4	0.471339802	origin
group5	0.356717264	origin
group6	0.950357361	origin
group7	0.584737927	origin
group8	0.320136363	origin
subgroup_1	0.612921035	group1
subgroup_2	0.600230162	group1
subgroup_3	0.322423134	group1
subgroup_4	0.027336108	group1
subgroup_5	0.978419132	group1
subgroup_6	0.461259288	group1
subgroup_7	0.832969152	group1
subgroup_8	0.207715228	group1
subgroup_9	0.314627984	group1
subgroup_10	0.925851925	group1
subgroup_11	0.717779434	group2
subgroup_12	0.305544641	group2
subgroup_13	0.147937447	group2
subgroup_14	0.646325692	group2
subgroup_15	0.424029332	group2
subgroup_16	0.567423814	group2
subgroup_17	0.528656488	group2
subgroup_18	0.264667763	group2
subgroup_19	0.744344571	group2
subgroup_20	0.156577081	group2
subgroup_21	0.482333883	group3
subgroup_22	0.960141481	group3
subgroup_23	0.209760459	group3
subgroup_24	0.443965596	group3
subgroup_25	0.28219311	group3
subgroup_26	0.096653248	group3
subgroup_27	0.98926592	group3
subgroup_28	0.164747571	group3
subgroup_29	0.255985391	group3
subgroup_30	0.601758118	group3
subgroup_31	0.581661348	group4
subgroup_32	0.822038855	group4
subgroup_33	0.500538318	group4
subgroup_34	0.936537643	group4
subgroup_35	0.196869316	group4
subgroup_36	0.572763611	group4
subgroup_37	0.1339681	group4
subgroup_38	0.775269332	group4
subgroup_39	0.817090802	group4
subgroup_40	0.719115261	group4
subgroup_41	0.384637831	group5
subgroup_42	0.795959183	group5
subgroup_43	0.391482464	group5
subgroup_44	0.782634936	group5
subgroup_45	0.376080415	group5
subgroup_46	0.530306912	group5
subgroup_47	0.436556557	group5
subgroup_48	0.842674422	group5
subgroup_49	0.614291309	group5
subgroup_50	0.042870604	group5
subgroup_51	0.014188013	group6
subgroup_52	0.522711538	group6
subgroup_53	0.826342993	group6
subgroup_54	0.858563103	group6
subgroup_55	0.229198923	group6
subgroup_56	0.130452303	group6
subgroup_57	0.004826273	group6
subgroup_58	0.254098988	group6
subgroup_59	0.15745278	group6
subgroup_60	0.476687544	group6
subgroup_61	0.807019323	group7
subgroup_62	0.26463851	group7
subgroup_63	0.279060704	group7
subgroup_64	0.422850698	group7
subgroup_65	0.353645389	group7
subgroup_66	0.883997672	group7
subgroup_67	0.322690156	group7
subgroup_68	0.518133839	group7
subgroup_69	0.095928579	group7
subgroup_70	0.096461512	group7
subgroup_71	0.281556802	group8
subgroup_72	0.195342257	group8
subgroup_73	0.507276396	group8
subgroup_74	0.54561374	group8
subgroup_75	0.468699924	group8
subgroup_76	0.319156244	group8
subgroup_77	0.418709066	group8
subgroup_78	0.440822117	group8
subgroup_79	0.442808428	group8
subgroup_80	0.129775274	group8
