CompoundID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6
C07647	-1.342926844	-1.242926844	-1.142926844	-1.042926844	-0.942926844	-0.842926844
C01032	2.490314027	2.590314027	2.690314027	2.790314027	2.890314027	2.990314027
C08179	-0.667455702	-0.567455702	-0.467455702	-0.367455702	-0.267455702	-0.167455702
C06093	-0.189620909	-0.089620909	0.010379091	0.110379091	0.210379091	0.310379091
C11342	0.214742696	0.314742696	0.414742696	0.514742696	0.614742696	0.714742696
C07570	-0.882824899	-0.782824899	-0.682824899	-0.582824899	-0.482824899	-0.382824899
C00606	-2.414887709	-2.314887709	-2.214887709	-2.114887709	-2.014887709	-1.914887709
C09719	0.085702883	0.185702883	0.285702883	0.385702883	0.485702883	0.585702883
C14366	0.319215488	0.419215488	0.519215488	0.619215488	0.719215488	0.819215488
C01504	0.332701312	0.432701312	0.532701312	0.632701312	0.732701312	0.832701312
C06963	-0.83944997	-0.73944997	-0.63944997	-0.53944997	-0.43944997	-0.33944997
C04435	-1.355911069	-1.255911069	-1.155911069	-1.055911069	-0.955911069	-0.855911069
C01046	-0.850182802	-0.750182802	-0.650182802	-0.550182802	-0.450182802	-0.350182802
C04812	-0.15948347	-0.05948347	0.04051653	0.14051653	0.24051653	0.34051653
C00209	-1.743247823	-1.643247823	-1.543247823	-1.443247823	-1.343247823	-1.243247823
C00226	-1.493642874	-1.393642874	-1.293642874	-1.193642874	-1.093642874	-0.993642874
C03495	-0.897063418	-0.797063418	-0.697063418	-0.597063418	-0.497063418	-0.397063418
C10017	-0.144186689	-0.044186689	0.055813311	0.155813311	0.255813311	0.355813311
C13194	-1.901016348	-1.801016348	-1.701016348	-1.601016348	-1.501016348	-1.401016348
C11038	1.022510832	1.122510832	1.222510832	1.322510832	1.422510832	1.522510832
C16513	-1.093601779	-0.993601779	-0.893601779	-0.793601779	-0.693601779	-0.593601779
C03820	-1.004697814	-0.904697814	-0.804697814	-0.704697814	-0.604697814	-0.504697814
C13244	-1.024464863	-0.924464863	-0.824464863	-0.724464863	-0.624464863	-0.524464863
C00345	0.225867322	0.325867322	0.425867322	0.525867322	0.625867322	0.725867322
C02916	-0.104429643	-0.004429643	0.095570357	0.195570357	0.295570357	0.395570357
C11538	-0.954518425	-0.854518425	-0.754518425	-0.654518425	-0.554518425	-0.454518425
C11750	-1.568110842	-1.468110842	-1.368110842	-1.268110842	-1.168110842	-1.068110842
C08261	0.91695605	1.01695605	1.11695605	1.21695605	1.31695605	1.41695605
C00273	1.770176922	1.870176922	1.970176922	2.070176922	2.170176922	2.270176922
C14149	0.235866155	0.335866155	0.435866155	0.535866155	0.635866155	0.735866155
C00886	2.3307627	2.4307627	2.5307627	2.6307627	2.7307627	2.8307627
