CompoundID	Sample1
C07647	-1.342926844
C01032	2.490314027
C08179	-0.667455702
C06093	-0.189620909
C11342	0.214742696
C07570	-0.882824899
C00606	-2.414887709
C09719	0.085702883
C14366	0.319215488
C01504	0.332701312
C06963	-0.83944997
C04435	-1.355911069
C01046	-0.850182802
C04812	-0.15948347
C00209	-1.743247823
C00226	-1.493642874
C03495	-0.897063418
C10017	-0.144186689
C13194	-1.901016348
C11038	1.022510832
C16513	-1.093601779
C03820	-1.004697814
C13244	-1.024464863
C00345	0.225867322
C02916	-0.104429643
C11538	-0.954518425
C11750	-1.568110842
C08261	0.91695605
C00273	1.770176922
C14149	0.235866155
C00886	2.3307627
C05184	-0.102943355
C06195	-1.432354081
C02538	1.427784888
C02554	-1.279549213
C07834	-2.436605011
C01678	-1.265892579
C15493	-0.408762542
C16637	1.227757963
C04606	-0.22221301
C00980	-1.365001119
C05923	0.758145835
C10923	1.219317169
C00297	-0.144469426
C01527	-0.313439014
C03972	0.110582627
C00153	2.550170831
C01378	0.669757498
C06018	0.78584308
C06144	-0.176655389
C03393	-1.802701513
C02906	-0.297792891
C00186	0.298959588
C00479	-0.757220541
C06821	-0.781233934
C11868	-0.504000035
C14463	-0.362749609
C00295	1.294269285
C05469	0.85892572
C08721	0.144454639
C05183	1.190182694
C03298	0.221637963
C00747	1.02508832
C11514	-1.129783913
C00247	-1.132673048
C05258	2.154253395
C07573	1.115389227
C16514	-2.034320673
C07731	-0.126974683
C06725	0.493786691
C19706	-0.226764003
C16217	0.452012492
C01829	-0.689469107
C13890	1.30270223
C03846	0.292844586
C02634	0.299027597
C16171	-1.557037257
C12833	0.572921886
C02848	-0.205450475
C08404	-0.44761712
C17883	-0.870098118
C01751	-0.547984314
C01646	-0.03181207
C02677	0.059654473
C01972	0.204098825
C06071	1.011154087
C15532	0.04987339
C02130	0.2958224
C05318	0.241183734
C02249	0.644640376
C05139	2.940246341
C06824	-1.741244113
C09705	-0.356952365
C05441	0.146724638
C00803	-0.488154646
C02094	-0.32138564
C00713	-2.867426004
C06557	-0.225230301
C04872	0.281277535
C07096	0.559672124
C10287	-0.008806578
C00748	0.99987485
C04461	0.234128416
C11832	-2.088070293
C00362	0.996156016
C08526	0.579622221
C11395	-0.761013222
C13377	-0.417928442
C00138	2.43324219
C01910	-1.8997354
C03570	0.8942962
C00369	-0.894337689
C01952	1.061901599
C05125	-0.857945698
C01705	-0.364173688
C00160	1.495663645
C04286	-0.793175351
C04199	0.635259971
C00801	-0.051177077
C09126	-0.612502259
C01942	0.106439522
C06174	-0.408676346
C02183	1.111244161
C04686	0.272183563
C02810	0.13605577
C06852	1.10019135
C10330	-2.475053206
C11793	-0.287066972
C11158	0.376353039
C00324	-1.044549691
C14709	-0.626661779
C03881	0.508144678
C05840	-1.357674083
C02131	2.18438291
C02533	0.313353265
C04292	1.096436854
C04750	-0.463338236
C00292	1.702076599
C09675	1.632739635
C14374	0.254082191
C00605	-1.089314996
C04448	-1.075054699
C07599	-2.557555737
C01808	-1.710103854
C00108	2.123037518
C02924	-1.595136825
C08046	-0.635824438
C00978	0.338014924
C04916	-0.246061413
C00842	0.754253484
C05498	-3.170093044
C12394	-0.500963177
C12145	-0.343879486
C07441	0.576418788
C09625	0.971697352
C06340	-0.040800855
C00815	1.005036849
C01142	0.077775231
C06768	-0.836875154
C03521	-0.01872474
C01905	0.601505554
C04844	0.177051965
C02488	0.383704383
C05668	-0.191719946
C15926	0.572286955
C11635	0.538144434
C05944	-0.116787573
C11150	-1.092298041
C04083	0.194511547
C17934	-1.029075994
C11134	-0.278431485
C00188	-2.864377401
C01138	-0.6984593
C13410	-0.669015929
C06542	1.269075091
C02201	-0.484995726
C06318	0.956479402
C10390	2.548540086
C04630	0.665082632
C01948	-1.68135677
C01508	-0.642462033
C12632	-0.860218966
C01456	1.711258125
C00904	-0.079439715
C12424	-1.035789323
C07639	0.365281786
C04002	1.76542837
C01411	1.872577887
C00144	-1.230736896
C13690	1.571153296
C14447	0.282351559
C06800	-0.244064019
C02028	2.395921187
C03408	0.376754734
C04349	1.521763812
C10826	-0.907007084
C02752	-1.042941132
C00787	-1.418761761
C06354	-0.606577295
C02236	1.327968999
C00565	1.004760935
C05513	-0.62909684
C04037	0.038705212
C02153	2.081087986
C02247	0.973446878
C10043	-1.593239763
C06306	0.22318804
C01804	-0.422228331
C02657	-0.396802993
C09821	-2.4213881
C08858	0.063804614
C06368	-0.80132033
C04399	2.094827973
C06984	0.223002672
C08518	-0.156941345
C03629	-0.373548774
C01885	-0.577677509
C06026	-0.008384376
C11527	0.61639402
C06537	-0.15734659
C08135	-0.02454093
C00708	-0.377763507
C08383	0.349634079
C00136	-0.473614769
C16159	-0.208168192
C04064	0.347143691
C00879	-0.794612863
C05895	0.06319784
C01926	0.450547306
C18626	0.634659442
C04527	-0.764852024
C04919	0.170170271
C00139	-0.425244883
C07127	-0.291616545
C06660	-1.008953169
C04740	0.666790922
C06708	-1.18172951
C00885	-1.196317925
C00197	-1.560808153
C09248	-0.878807588
C08278	-0.183807572
C01088	0.089910259
C11536	-1.170763218
C02077	0.514015035
C05932	0.09339674
C03884	-0.488030341
C00140	0.126840358
C03502	1.342601095
C12624	0.463322784
C07323	0.845382272
C04596	-0.97712605
C02771	-0.132664221
C08794	-0.970767474
C11520	1.031627952
C00536	1.031243434
C04073	-0.47361772
C06850	-1.804490907
C01706	-0.128236177
C05627	0.133205537
C13719	2.18298156
C06307	1.568967246
C12367	0.921708911
