GeneID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6
10000	-0.307644803	-0.147227694	-0.023784808	-0.070561931	-0.001323087	-0.150268131
10001	0.415868046	-0.334772587	-0.513136907	-0.166537124	0.111122223	0.134007337
10002	0.198549252	0.037895875	0.341865341	-0.0852742	0.767559264	0.158286089
10003	-0.231552974	-0.096593115	-0.104727283	-0.048014039	-0.208056443	0.033444482
100048912	-0.044907242	-0.05203146	0.036390376	0.048078231	0.027205816	0.054447391
10004	-0.087562371	-0.050277251	0.001821133	0.030238347	0.008034394	-0.068607493
10005	-0.126266815	0.477787436	-0.10612248	0.234664065	0.096764285	0.063520044
10006	0.650282053	0.195060009	-0.005358647	-0.226325456	0.082590527	-0.069443504
10007	0.156691221	0.055351668	0.098862352	-0.025707597	0.212608781	0.159359208
10009	-0.019296438	0.005141373	-0.019660325	0.005882828	-0.023173578	-0.000280826
1000	-0.007689655	0.172162087	-0.19883143	-0.201985089	-0.079954759	-0.17289111
10010	-0.350999948	-0.359671734	-0.054019994	0.195410602	-0.250342375	-0.122790368
100127886	-0.185396772	-0.010127431	0.055727119	0.002830039	0.02596228	0.038812142
100127972	-0.004943871	-0.002280742	0.003163417	0.003579715	0.00202184	-0.000450592
100128008	-0.189191353	0.049133714	0.000272936	0.121949319	-0.0777152	-0.125031087
100128062	1.03921538	0.032796364	-0.342966427	-0.276798948	0.256306947	0.405593932
100128414	-0.000204145	1.27E-05	-3.19E-05	-8.08E-05	-4.55E-06	-0.000134041
100128919	-0.177015022	-0.069297989	-0.004879285	0.158662045	0.027151024	-0.067344428
100129015	-0.011930756	-9.06E-05	0.001532746	0.006149236	-0.00718429	-0.007969851
100129128	0.167667835	-0.05315995	0.006511211	-0.075928259	-0.084655078	-0.069117717
100129250	-0.198818033	0.059394576	-0.047272418	-0.077692973	0.003199363	-0.047597285
100129271	-0.19893869	0.01851973	0.003847106	-0.174852602	-0.09932469	-0.065039432
100129361	0.705464911	0.368175549	-0.218587971	0.15983488	0.524525212	-0.032649876
100129410	-4.66E-05	-3.95E-05	0.000343241	-3.83E-05	-9.92E-05	-0.000241201
100129482	-0.147041184	-0.157672228	-0.069488981	-0.151277298	0.062469487	0.140398225
100129500	-0.135912015	-0.062437026	0.173047982	-0.152796711	0.006093229	0.020283317
100129503	-0.193717747	-0.116032341	0.160116539	-0.008622522	-0.036121186	0.080787696
100129624	-0.047588743	0.013576292	0.036882676	-0.090866539	-0.009909635	0.030734517
100129656	-0.091272862	0.06218638	0.004537444	-0.063181816	-0.016486191	0.023297088
100129668	-0.04400424	0.089419324	0.070980903	-0.464539219	-0.21829064	-0.000443027
100129686	-0.066278443	0.018334274	0.030471277	-0.076664334	0.071620727	-0.003248608
100129762	-1.452678774	-0.086386974	0.147338507	-0.595476107	-0.988425764	-0.380095812
100129973	-0.331317418	-0.072371013	-0.103754043	-0.107212535	-0.116462292	0.007362691
100130100	-0.160796485	-0.03156982	0.029115965	-0.033520517	-0.148402714	-0.009238307
100130130	0.287515887	0.106742825	-0.253912585	-0.423734023	0.244998933	0.430612251
100130134	-0.008544344	0.008688174	0.006737104	-0.003384128	0.000624296	-0.002558955
100130291	0.000141275	0.000211663	0.000163322	3.55E-06	0.000196737	0.000121881
100130348	-0.157170309	0.077600104	0.059133175	-0.210809375	-0.065917305	0.090030255
100130449	0.593745725	0.360394149	2.71082904	0.095408701	0.513334546	0.634619988
100130464	-0.098145889	-0.03527401	0.021275846	0.044299169	0.025537509	0.008797768
100130544	-0.941296316	0.906832018	0.041088192	0.214605337	-0.188520387	0.393966094
100130624	-0.500969488	0.376195543	-0.106263585	-0.449246755	0.047591007	-0.284021505
100130633	0.189417174	0.05560044	0.008851767	-0.543150745	-0.028848957	-0.055075555
100130703	-0.007446631	0.007576688	-0.000759125	0.013966143	0.006390852	0.02268235
100130862	-0.019048279	0.127754314	0.290239009	-0.03565024	0.322186862	-0.046215473
100131005	0.108496966	0.30089581	-0.086736681	-0.142465075	0.397424866	0.306095833
100131164	-0.063343132	-0.086693383	0.040802998	-0.124897475	0.029863951	0.01785643
100131298	-0.024285407	-0.004246015	-0.003022949	-0.009410761	0.009788687	-0.002616254
100131613	-0.503746675	0.046709654	0.037603096	0.178200299	0.091526647	-0.108572359
100132129	-0.103294097	0.096655169	-0.065196007	0.134716554	-0.046651945	0.10265689
100132302	0.066448656	0.016247333	-0.064951178	0.055320426	-0.066895229	0.025941984
100132323	-0.336597362	0.385759433	0.008375461	0.43740917	-0.158042363	0.010322406
100132430	-0.345707812	0.932435878	1.221791293	0.738527075	0.077982053	0.315318056
100132833	-0.371468027	0.074624617	0.057390302	-0.40953585	0.328071077	0.223266309
100133166	0.763613057	-0.327761633	-0.283167377	-0.383552337	0.257603954	0.110602433
100133233	-0.230271547	-0.214120851	0.215389781	0.407185817	-0.147408171	0.142752977
100133276	-0.014734958	0.148750809	0.47646263	0.018320954	0.309926197	-0.138979133
10013	-0.378713958	-0.016641829	0.03843471	-0.105952759	0.032595555	0.06186276
10014	-0.449105961	0.011570759	-0.11900765	-0.759803946	-0.108206192	-0.021242049
10015	1.07648796	0.073215023	-0.253591265	0.364613127	-0.024249709	0.22028866
10016	0.867264354	0.128852107	-0.34979966	-0.506208931	0.300222558	0.33642105
10017	-0.006231513	0.00450774	0.009479373	-0.004156352	-0.00130558	-0.003520476
10018	-0.019768649	0.01753095	0.049433765	-0.006468952	0.007819367	-0.010548298
10019	0.254418115	-0.466184711	0.31853154	-0.344303031	0.00891044	-0.639342738
1001	-0.675434068	-1.746513136	-0.687622577	0.070775726	-1.287988854	-0.943905597
10020	-0.055968017	-0.451378378	-0.990682687	0.715216254	-0.297771372	-0.161695197
