Sample	Value
sample1	60.5
sample1	61.9
sample1	60.8
sample1	65.2
sample1	58.4
sample1	59.3
sample1	62.6
sample1	62.5
sample1	62.1
sample1	61.5
sample1	62.4
sample1	62.8
sample1	62.1
sample2	61.5
sample2	59.8
sample2	56.9
sample2	65.1
sample2	60.2
sample2	60.9
sample2	63.8
sample2	60.7
sample2	59.5
sample2	64.1
sample2	63.3
sample2	61.6
sample2	60.7
sample2	59.9
sample2	62.6
sample2	63.4
sample2	62.9
sample2	57.9
sample2	62.5
sample2	55.1
sample2	62.4
sample2	57.5
sample2	61.6
sample3	60.4
sample3	60.9
sample3	60
sample3	59.8
sample3	58.2
sample3	62.4
sample3	60.9
sample3	59.2
sample3	59.4
sample3	66.3
