male	age	height	weight
0	66	154	57
0	67	149	48
0	76	161	55
0	68	157	60
1	73	163	60
0	65	150	65
1	53	165	60
1	47	158	57
1	67	169	70
0	60	155.5	51.4
1	67	165	66
1	52	175	74
0	72	150	55
0	71	148	55
1	54	170	83
0	57	162	69
1	62	169	68
0	70	149	52
1	55	170	73
0	74	148	51
0	56	153	58
0	66	147	57
1	54	168	63
1	35	171	70
0	69	150	53
1	68	165	84
0	75	160	64
1	67	172	75
1	54	172	69
1	51	165	60
1	61	169	76
1	80	161	52
1	54	169	63
0	53	160	60
1	69	177	81
0	75	153	54
1	68	175	77.5
0	57	148	55
1	72	161	62
0	57	160	51
0	46	160	58
0	67	153	65
1	69	159	70
1	72	161	63
1	74	160	52
1	59	167	64
0	66	152	58
0	63	152	48
1	61	170	70
1	58	170	78
0	74	163	55
1	55	169	74
1	36	163	65
1	56	173	80
1	79	170	62
0	70	144	47
0	58	156	61
1	70	168	70
1	58	163	75
0	66	148	53
0	61	163	65
0	80	150	48
1	49	180	86
1	48	170	68
0	68	162	60
0	56	160	68
1	54	156	59
0	56	155	60
0	75	154	60
1	52	161	60
1	62	172	69
0	53	166	70
1	71	171	69.5
0	72	158	45
1	35	176	64
1	70	160	63
1	71	162	70
1	66	180	82
0	85	142	50
0	65	158	48
0	49	160	60
1	57	169	71
1	58	160	65
1	74	166	74
0	68	153	66
0	63	165	71
1	66	167	49
0	79	140	54
1	62	175	71
0	56	152	63
1	55	164	71
1	58	174	78
0	56	154	73
1	60	170	67
0	65	149	55
0	52	147.5	55.3
0	63	149.4	53.7
0	74	150	51
0	68	153	62
1	57	169	51
0	68	NA	64
1	57	155	55
0	75	151	62
0	80	153	75
1	71	164	67
1	69	170	70
1	74	160	58
1	75	177	73
0	82	153	56
0	71	150	65
0	78	140	56.9
0	62	156	63
0	57	158	69
0	63	158	55
1	73	167	60
