id	gender
HU_011	M
HU_014	F
HU_015	M
HU_017	M
HU_018	M
HU_019	M
HU_020	M
HU_021	M
HU_022	F
HU_023	M
HU_024	M
HU_025	M
HU_026	F
HU_027	M
HU_028	F
HU_029	M
HU_030	M
HU_031	M
HU_032	F
HU_033	F
HU_034	M
HU_035	F
HU_036	M
HU_037	M
HU_038	M
HU_039	M
HU_040	M
HU_041	M
HU_042	M
HU_043	M
HU_044	F
HU_045	F
HU_046	M
HU_047	F
HU_048	F
HU_049	M
HU_050	M
HU_051	F
HU_052	F
HU_053	M
HU_054	M
HU_055	F
HU_056	M
HU_057	M
HU_058	M
HU_060	F
HU_061	F
HU_062	M
HU_063	F
HU_064	F
HU_065	M
HU_066	F
HU_067	F
HU_068	F
HU_069	M
HU_070	M
HU_072	M
HU_073	M
HU_074	F
HU_075	M
HU_076	M
HU_077	M
HU_078	M
HU_079	M
HU_080	F
HU_081	F
HU_082	M
HU_083	M
HU_084	F
HU_085	M
HU_086	M
HU_087	F
HU_088	F
HU_089	M
HU_090	M
HU_091	M
HU_092	M
HU_093	M
HU_094	M
HU_095	M
HU_097	M
HU_098	M
HU_099	M
HU_100	F
HU_101	M
HU_102	F
HU_103	M
HU_105	M
HU_106	M
HU_107	M
HU_108	M
HU_109	M
HU_110	F
HU_112	M
HU_113	M
HU_114	M
HU_115	F
HU_116	F
HU_117	M
HU_118	F
HU_119	F
HU_120	F
HU_121	M
HU_122	M
HU_123	M
HU_124	M
HU_125	M
HU_126	M
HU_127	M
HU_129	M
HU_130	M
HU_131	M
HU_132	F
HU_133	M
HU_134	M
HU_135	M
HU_136	F
HU_137	M
HU_138	M
HU_139	M
HU_140	M
HU_142	M
HU_143	F
HU_144	M
HU_145	M
HU_146	M
HU_147	M
HU_148	F
HU_149	F
HU_150	F
HU_152	F
HU_154	F
HU_155	F
HU_156	F
HU_157	F
HU_158	F
HU_159	F
HU_160	F
HU_162	F
HU_163	F
HU_164	F
HU_166	F
HU_167	F
HU_168	F
HU_169	F
HU_170	F
HU_171	F
HU_172	F
HU_173	F
HU_174	F
HU_175	F
HU_177	F
HU_179	F
HU_180	F
HU_181	F
HU_182	F
HU_183	F
HU_184	F
HU_185	F
HU_186	F
HU_187	F
HU_188	F
HU_189	F
HU_190	M
HU_191	M
HU_192	M
HU_193	F
HU_194	F
HU_195	F
HU_196	F
HU_197	M
HU_198	M
HU_199	M
HU_200	M
HU_201	M
HU_202	M
HU_203	F
HU_204	M
HU_205	M
HU_206	F
HU_207	F
HU_208	F
HU_209	F
