Gene	CT-1	CT-2	CT-3	Trait1-1	Trait1-2	Trait1-3	Trait2-1	Trait2-2	Trait2-3
Gene1	510.08	442.22	399.82	483.3	437.89	444.06	405.43	416.63	464.75
Gene2	120.24	80.89	73.94	96.25	82.62	85.48	65.12	61.94	73.44
Gene3	12.48	7.53	13.35	11.16	11.36	6.96	7.82	4.01	10.02
Gene4	0	0	0	0	0	0	0	0	0
Gene5	208.45	0	232.4	148.58	0	181.61	0.02	12.18	0
Gene6	129.61	112.73	85.7	80.89	124.11	115.25	113.87	107.69	119.83
Gene7	0	0	0	0	0	0	0	2.66	0
Gene8	20.58	4.9	24.82	13.55	22.22	17.65	76.93	21.6	32.82
Gene9	0	14.28	45.38	59.27	26.57	0	3.34	1.61	0
Gene10	6.19	135.24	180.12	34.55	9.19	1.06	129.6	22.57	40.62
Gene11	0	0	70.75	0	0	76.66	0	59.63	0
Gene12	1934.17	1743.92	1708.51	1432.08	1881.46	1828.98	1945.62	1816.47	1815.35
Gene13	0	0	0	0	0	0	0	0	0
Gene14	0	0	0.17	0	1.53	1.8	0	0	0
Gene15	0	0	0	0	0	337.15	63.41	0	0
Gene16	1059.22	2042.71	888.15	717.27	997.92	895.06	1154.53	978.41	966.78
Gene17	9.12	6.72	5.99	6.41	11.55	3.78	9.39	7.57	10.09
Gene18	685.33	718.87	709.03	663.57	714.82	634.31	755.93	594.6	687.83
Gene19	23.25	13.19	35.23	44.93	9.38	47.12	0	0	0
Gene20	66.22	108.15	83.18	60.8	70.33	77.69	67.16	79.33	73.43
Gene21	0	16.36	0	57.22	0	58.53	0	35.79	59.17
Gene22	0	14.43	0	0	0	38.12	34.23	0	0.03
Gene23	0	0	0	0	0	0.65	0	0	0
Gene24	0	0	0	0.2	0	0	0	0	0.43
Gene25	58.77	90.49	75.15	75.4	58.23	47.8	69.82	56.07	89.48
Gene26	0	0	0	0.67	1.01	0	0	0	2.93
Gene27	177.89	235.64	145.06	144.27	155.13	189.34	146.43	169.6	285.08
Gene28	27.12	22.07	17.32	29.56	25	4.89	13.54	58.76	20.29
Gene29	10.01	8.96	7.59	6.8	8.7	12.83	15.66	7.86	3.36
Gene30	0	0	0.17	0	0	0	0	0	0
Gene31	2.04	0.57	2.13	1.84	3.13	4.03	2.54	5.2	2.19
Gene32	0	0	0	0	0	0	0	0	0
Gene33	2777.82	2290.72	2256.76	1922.89	2512.11	2424.79	3177.18	2659.87	2751.46
Gene34	0	0	0	0	0	0	0	0	0
Gene35	0	26616.63	0.33	11.91	18.65	22975.22	0.39	0	9.11
Gene36	94.5	64.14	56.28	82.49	94.56	43.33	203.22	127.85	138.13
Gene37	0	0	0	0	0	0	20.05	0	35.37
Gene38	173.7	170.05	183.23	177.35	151.34	168.82	174.22	164.84	218.62
Gene39	0	0	0	0	0	0	0	0	0
Gene40	7.16	8.59	24	38.32	12.52	24.91	11.88	8.66	13.64
Gene41	6820.44	3867.44	5504.08	6058.79	4162.02	5579.48	4731.29	4476.94	4080.81
Gene42	300.54	323.96	302.63	221.82	310.55	214.77	360.25	250.06	316.13
Gene43	2742.65	843.91	1195.03	2302.86	3777.33	1034.11	3741.89	824.06	3118.04
Gene44	0	0	0	91.23	0	61.17	0	0.36	57.91
Gene45	667.22	636.74	723.45	845.84	717.34	649.34	488.2	531.35	624.63
Gene46	233.09	132.22	370.18	242.56	271.91	256.18	120.49	166.42	266.16
Gene47	1.06	1.81	1.31	1.2	2.69	1.28	3.04	0.63	1.25
Gene48	0	0	0	0	0	0	0	0	0
Gene49	85.22	74.59	65.89	62.15	75.8	62.61	172	0	113.62
Gene50	0	0	0	0	0	0	0	0	0
Gene51	0	0	0	18.06	0	22.83	0	0	0
Gene52	670.09	216.31	1110.48	6108.63	565.52	309.1	2059.37	200.68	196.52
Gene53	209.71	463.6	432.44	442.54	336.04	525.9	230.87	489.7	322.15
Gene54	0	0	0	0	0	0	0	0	0
Gene55	63.44	49.81	27.79	28.57	109.02	25.51	4.29	1.03	1.87
Gene56	173.54	156.55	246.74	123.48	275.58	207.77	310.59	208.4	320.9
Gene57	21.71	24.56	25.55	19.27	21.22	17.28	8.52	11.84	17.45
Gene58	404.09	2779.39	430.19	0	0	53.47	0	0	0
Gene59	155.73	103.22	88.79	142.03	240.66	96.75	289.75	93.67	141.92
Gene60	79.79	70.27	78.38	60.03	58.65	67.96	81.28	40.31	38.34
Gene61	72.03	79.91	90.92	66.05	73.49	66.36	98.28	65.82	66.12
Gene62	0	0	0	0	0	0	0	0	0
Gene63	3.38	2.86	0.71	2.32	10.77	11.46	14.57	11.59	0
Gene64	46.39	59.44	61.88	46.22	62.49	51.28	72.93	64.93	66.45
Gene65	303.2	40.35	188.72	1233.63	56.51	262.7	102.42	112.14	33.58
Gene66	28.83	33.05	29.66	43.11	25.14	33.12	16.34	19.07	4.66
Gene67	121.99	108.25	110.93	86.32	134.36	87.79	163.35	102.43	121.59
Gene68	15.78	8.08	19.48	17.55	8.1	8.65	7.71	10.11	13.47
Gene69	36.38	0	70.41	55.14	50.28	103.57	80.61	75.72	65.72
Gene70	0	0	0	0	0	0	0	0	0
