ID	Species
setosa_1	setosa
setosa_2	setosa
setosa_3	setosa
setosa_4	setosa
setosa_5	setosa
setosa_6	setosa
setosa_7	setosa
setosa_8	setosa
setosa_9	setosa
setosa_10	setosa
setosa_11	setosa
setosa_12	setosa
setosa_13	setosa
setosa_14	setosa
setosa_15	setosa
setosa_16	setosa
setosa_17	setosa
setosa_50	setosa
versicolor_51	versicolor
versicolor_52	versicolor
versicolor_53	versicolor
versicolor_54	versicolor
versicolor_55	versicolor
versicolor_56	versicolor
versicolor_57	versicolor
versicolor_58	versicolor
versicolor_59	versicolor
versicolor_60	versicolor
versicolor_61	versicolor
versicolor_81	versicolor
versicolor_82	versicolor
versicolor_83	versicolor
versicolor_84	versicolor
versicolor_85	versicolor
versicolor_86	versicolor
versicolor_94	versicolor
versicolor_95	versicolor
versicolor_96	versicolor
versicolor_97	versicolor
versicolor_98	versicolor
versicolor_99	versicolor
versicolor_100	versicolor
virginica_101	virginica
virginica_102	virginica
virginica_103	virginica
virginica_104	virginica
virginica_105	virginica
virginica_106	virginica
virginica_107	virginica
virginica_108	virginica
virginica_109	virginica
virginica_110	virginica
virginica_111	virginica
virginica_112	virginica
virginica_113	virginica
virginica_114	virginica
virginica_115	virginica
virginica_116	virginica
virginica_117	virginica
