stu	Algebra	Analysis	Proba	Informatic	Economy	Option1	Option2	English	Sport	result
stu1	40	26	26	26	51.9	17	24	19	11.5	C-
stu2	37	34.5	37	32	72	24	22	26	11.5	B
stu3	37	41	29	34.5	72	24	27	19.6	11.5	B
stu4	63	37.5	57	35.5	77.4	23	23	21	14	A
stu5	55	31.5	34	36	57.9	19	24	24	11.5	B
stu6	50	38	32	20	66.9	20	15	22.2	0	C-
stu7	49	32.5	20	45	68.4	18	19	26	0	B
stu8	42	34	34	20	72	19	17	23	10	B
stu9	20	37	14	20	63	20	18	14.8	0	D
stu10	53	42	53	22.5	78.9	20	21	26	12	A
stu11	62	31	48	37.5	42	32	19	18.8	12	B
stu12	42	44	34	29	77.4	23	23	20	8.5	B
stu13	36	32.5	54	29.5	78.9	28	27	26	11.5	A
stu14	40	22	16	24	66	21	21	20.2	13	C-
stu15	38	33	33	18.5	67.5	20	23	23	15	B
stu16	44	33	29	25.5	66.9	26	22	25.2	8.5	B
stu17	48	35.5	39	51	73.5	21	24	27.4	8.5	A
stu18	31	31	11	15	63.9	16	30	18.8	0	D
stu19	47	22	42	54	66	26	19	27	0	B
stu20	52	50	61	39.5	84.9	30	28	30	15	A+
stu21	50	37.5	36	42	78	29	27	18.5	10	A
stu22	31	32.5	43	32	72.9	23	23	16	12	B
stu23	60	39	54	21	59.4	29	19	21.8	12	B
stu24	49	46	30	36	73.5	25	7	21.5	13.5	B
stu25	50	35	44	23.5	78	26	28	20.6	10	B
stu26	42	37	41	22.5	69.9	25	24	24.2	12	B
stu27	42	33	15	17.5	73.5	26	24	21.4	13	C-
stu28	42	43	43	28.5	60	30	19	22.2	13	B
stu29	56	21	22	20	90.9	24	28	31	11.5	B
stu30	55	32.5	27	30.5	72	29	27	16.8	10	B
stu31	41	31	15	24	78.9	19	27	27	10	B
stu32	41	32	32	28	64.5	21	16	17	13	B
stu33	47	34	24	25	60.9	24	20	21.4	14.5	B
stu34	48	33	34	19.5	69.9	25	20	22	9	B
stu35	50	28	26	22	76.5	28	24	17	12	B
stu36	46	23	24	15.5	71.4	24	13	19	9.5	C-
stu37	36	29	8	20.5	57	20	18	24.4	10	D
stu38	50	26	18	18	53.4	22	28	11.2	0	D
stu39	41	19	9	17	63.9	17	15	20	9	D
stu40	53	26	32	17.5	70.5	19	22	22	11.5	B
stu41	54	35.5	31	23	66	21	15	21.6	14.5	B
stu42	39	31	23	26.5	72	22	27	17.5	7	B
stu43	70	39	47	40.5	69	28	25	23.2	11.5	A
stu44	38	27.5	19	26.5	72	24	28	18.4	11.5	B
stu45	37	20	35	17.5	69	14	24	21	9	C-
stu46	58	20	16	46.5	76.5	20	25	20	12	B
stu47	58	46	17	41	78.9	28	23	12	10	B
stu48	46	43	26	23.5	60.9	21	21	12	11.5	B
stu49	47	48	44	27.5	67.5	23	23	18	11.5	B
stu50	48	28.5	28	27.5	77.4	24	23	22	10.5	B
stu51	46	29.5	28	24	81	27	28	22	0	B
stu52	35	22.5	11	17.5	77.4	13	5	25.4	0	D
stu53	65	50	53	35.5	83.4	34	21	20	13.5	A+
stu54	68	50	48	48	74.4	25	28	21.4	9	A
stu55	66	58	47	39.5	66.9	19	24	12	12	A
stu56	37	33	19	25.5	66.9	23	22	24.6	7	C-
stu57	41	44	31	26.5	66.9	24	19	27	10	B
stu58	52	35	52	24.5	77.4	26	27	30.4	14	A
stu59	42	40	26	28	67.5	19	26	16	0	C-
stu60	54	48	50	34.5	72	20	27	23.8	7.5	A
stu61	46	45	32	25.5	74.4	25	26	18.2	15	B
stu62	47	45	24	21.5	73.5	27	16	20	14.5	B
stu63	56	45	29	27.5	60	14	17	21.2	0	B
stu64	40	29.5	32	26	60	18	26	21.2	12	C-
stu65	40	29.5	32	26	60	18	26	21.2	12	C-
stu66	34	16	28	26.5	59.4	15	27.5	24	0	D
stu67	35	30	23	23	84	18	24	26.6	0	B-
stu68	38	22.5	24	20	65.4	15	24	21	15	C-
stu69	40	30	22	21	71.4	24	28	18.4	0	C-
stu70	58	34.5	33	31.5	76.5	26	26	22.4	12	A
stu71	53	24.5	45	28	66	27	21	20.2	11.5	B
stu72	17	35	28	10.5	34.5	11	16	8.5	0	D
stu73	48	47	52	27.5	84	19	27	17	11.5	A
stu74	47	32.5	21	24	75	25	20	22	11.5	B
stu75	50	32	30	12.5	69	34	26	12.8	0	B
stu76	37	32	15	21	72	17	15	23	12	C-
stu77	35	29	22	19.5	72	20	27.5	20.2	12	C-
stu78	37	24.5	23	24.5	67.5	25	23	21.2	10	C-
stu79	55	45	52	29	78.9	31	23	21	11.5	A
stu80	41	23	4	17	80.4	20	23	24	11.5	C-
stu81	34	32.5	22	20.5	72	17	25	20.8	11.5	C-
stu82	38	24.5	39	25.5	48	20	22	18	12	C-
stu83	43	32.5	33	24.5	62.4	24	19	20	13.5	B
stu84	41	18	19	25.5	86.7	22	27	30.8	0	B
stu85	46	37	36	23	75	25	24	23	11	B
stu86	72	40	49	17	84	29	24	21.5	10.5	A
stu87	50	46	43	31.5	69.9	30	22	23	0	B
stu88	53	34.5	65	24.5	81.9	26	22	26	11.5	A
stu89	46	54	36	31.5	78.9	34	23	19.2	11	A
stu90	9	18	21	33	36.9	10	7	16	0	D
