id	(2-methoxyethoxy)propanoic acid isomer	(gamma)Glu-Leu/Ile	1-Methyluric acid	1-Methylxanthine	"1,3-Dimethyluric acid"	"1,7-Dimethyluric acid"	2-acetamido-4-methylphenyl acetate	2-Aminoadipic acid	2-Hydroxybenzyl alcohol	2-Isopropylmalic acid	2-Methylhippuric acid	"2,2-Dimethylglutaric acid"	3-Hydroxybenzyl alcohol	3-Hydroxyphenylacetic acid	3-Indole carboxylic acid glucuronide	3-Methyl-2-oxovaleric acid	3-Methylcrotonylglycine	"3,3-Dimethylglutaric acid"	"3,4-Dihydroxybenzeneacetic acid"	"3,5-dihydroxybenzoic acid/3,4-dihydroxybenzoic acid"	"3,7-Dimethyluric acid"	4-Acetamidobutanoic acid isomer 2	4-Acetamidobutanoic acid isomer 3	4-Hydroxybenzoic acid	4-Methylhippuric acid/3-Methylhippuric acid	5-Hydroxyindoleacetic acid	5-Sulfosalicylic acid	6-(2-hydroxyethoxy)-6-oxohexanoic acid	6-(carboxymethoxy)-hexanoic acid	9-Methylxanthine	Acetaminophen glucuronide	Acetylphenylalanine	alpha-N-Phenylacetyl-glutamine	Aminosalicyluric acid	Asp-Leu/Ile isomer 1	Asp-Leu/Ile isomer 2	Aspartic acid	Azelaic acid	Benzoic acid isomer	Chenodeoxycholic acid isomer	Cinnamoylglycine	Citric acid	Dehydroepiandrosterone 3-glucuronide	Dehydroepiandrosterone sulfate	Deoxyhexose	Dimethylguanosine	FMNH2	Fumaric acid	Gentisic acid	Glu-Val	Gluconic acid and/or isomers	Glucuronic acid and/or isomers	Glyceric acid	Glycocholic acid isomer 2	Glycocholic acid isomer 3	Heptylmalonic acid	Hexanoylglycine	Hippuric acid	Hydroxybenzyl alcohol isomer	Hydroxyphenyllactic acid	Hydroxysuberic acid isomer 1	Hydroxysuberic acid isomer 2	Isovalerylalanine isomer	Ketoleucine	Kynurenic acid	Malic acid	Methoxysalicylic acid isomer	Methyl (hydroxymethyl)pyrrolidine-carboxylate/Methyl (hydroxy)piperidine-carboxylate	Methylinosine	Mevalonic acid isomer 1	Monoethyl phthalate	N-Acetyl-aspartic acid	N-Acetylisoleucine	N-Acetylleucine	N-Acetyltryptophan	N-Acetyltryptophan isomer 3	N2-Acetylaminoadipic acid	N4-Acetylcytidine	Nicotinuric acid isomer	Ortho-Hydroxyphenylacetic acid	Oxoglutaric acid	p-Anisic acid	p-Hydroxyhippuric acid	p-Hydroxymandelic acid	p-Hydroxyphenylacetic acid	Pantothenic acid	Pentose	Phe-Tyr-Asp (and isomers)	Porphobilinogen	Pyridoxic acid isomer 1	Pyridylacetylglycine	Pyrocatechol sulfate	Pyroglutamic acid	Pyrroledicarboxylic acid	Pyruvic acid	Quinic acid	Salicylic acid	Sebacic acid	Suberic acid	Sulfosalicylic acid isomer	Taurine	Testosterone glucuronide	Tetrahydrohippuric acid	Threo-3-Phenylserine	Threonic acid/Erythronic acid	Tryptophan	Valerylglycine isomer 1	Valerylglycine isomer 2	Xanthosine
HU_011	3.019766011	3.888479324	3.869005757	3.717258956	3.535461262	3.325198822	4.204754369	4.080203824	4.560048648	3.466915892	4.297716111	3.799720356	3.502957774	4.672720846	3.548979394	3.956109582	4.204464698	4.223994451	3.400453527	4.494137556	4.233819668	4.046984191	3.964379663	4.581811302	3.242186003	4.307544634	4.023477297	3.758640363	3.445392336	4.403908726	1.646201355	4.169513923	4.406637627	4.125305912	3.565668774	3.706871339	4.262678588	4.419660232	3.86724466	3.507941373	3.981493072	4.077504851	4.276798769	4.462774103	3.760568554	4.052598091	3.565083008	3.567560782	4.300974169	3.70666622	4.288424392	4.271366191	3.928441136	3.536032693	3.467331262	4.299341699	3.700494627	4.281181406	4.238095945	3.959217417	4.144705403	4.295284686	3.878689037	3.522784347	4.012746846	3.534346694	4.060952031	3.899312973	3.979666714	3.329768714	4.186149533	4.117673299	4.093392933	3.411935939	3.792114594	4.559494909	3.631931485	4.361609643	3.848277948	3.870824929	2.997953327	3.841620372	4.19843532	4.140948524	4.05736231	4.367247334	4.119871721	4.379156111	3.873927113	4.264819199	4.042991845	4.452942268	4.013842815	3.854579114	3.2294447	4.128022579	3.925518082	4.298555268	4.283357894	4.724542627	4.294955544	4.292437346	3.409692231	4.274910494	4.313963325	4.006518145	4.016260966	3.889078716	4.075879575
HU_014	3.81433889	4.277148905	3.837704025	3.776851289	3.932581047	4.025125167	5.181858021	4.35924574	3.158211998	3.942746313	3.833793453	4.19234167	4.37005344	4.4901268	4.344955331	4.062869743	4.055143765	4.486961239	4.366694586	4.11802084	3.596650747	4.218430715	4.08786518	4.675483139	3.838006782	4.402027321	4.08369203	4.329163462	3.999589092	4.211292788	0.094671234	4.515992777	4.362681954	3.942511754	3.852858721	3.624546933	4.27890607	4.331719762	4.830235949	3.925771282	3.38145318	4.418116654	3.781078879	3.806104468	3.809186227	4.269906676	4.208395129	3.840096674	4.584677426	4.310927172	4.586464143	4.701159301	4.286770493	4.157624454	4.170019176	4.587916986	4.288871652	4.274764926	3.602193865	4.7746982	3.914817917	4.351691984	4.16756426	3.861881879	4.068846823	4.069773502	4.112546615	4.233934536	4.191844897	4.01885596	3.347641278	4.428008423	4.306259479	4.478246245	4.484241506	4.038887064	4.493697972	4.518477034	4.441710061	4.658540671	3.993253058	4.67814823	4.621760233	3.818507725	3.86796131	4.483831887	4.219937702	4.227932317	4.181048155	4.103787627	4.21032699	4.281094021	4.188312874	4.059364419	3.843605903	4.168760741	4.035195971	4.316858535	4.521645928	3.968790602	5.143374302	3.467556126	4.76682715	4.15393383	4.473728977	4.421590182	3.881005467	4.181765852	4.195761901
HU_015	3.51969148	4.195649235	4.102253758	4.291665208	3.955376494	3.972904281	3.885679615	4.249110618	4.290525486	3.539600259	4.199261935	4.146923616	3.990813876	4.416154519	4.174502666	4.420564858	4.14809497	4.137063024	3.965742094	4.284273559	3.954021738	3.995719199	4.031485074	4.248247699	4.72389994	3.975412924	4.232118506	3.994169621	4.039266761	4.07395983	-0.159476724	4.083459947	4.101540003	4.004895162	3.879880741	3.965623198	4.225658276	4.105070118	3.371990466	4.765679443	3.773392727	4.179829664	4.039522782	3.193502082	4.226145461	4.197531974	4.034408777	4.384063693	4.764176038	4.289508698	4.096406768	4.123024802	4.273123	4.298946708	4.04584231	4.245114639	4.154404935	4.030600936	3.948782363	3.457264319	4.118942163	4.050347912	4.427536001	3.839057211	4.157414109	3.696515321	4.288847415	4.520556275	4.362142931	1.55128105	3.824038574	4.20571486	4.268660372	4.266854201	4.254060712	4.333962331	3.904043409	3.885826078	4.240329544	4.001140771	3.482831033	3.455274772	3.835598217	4.221859857	4.198771191	4.281965459	4.354550608	4.004176162	4.136767309	3.887146735	4.099646284	4.239741313	4.202476277	4.426634009	3.555714319	4.295170907	4.5883271	4.387094407	4.159624866	3.9465924	4.525364632	4.325042578	3.407598479	3.45729612	4.124348489	4.438305654	4.187176209	4.254694804	4.12449321
HU_017	2.56218265	4.323759965	4.53851996	4.432216078	4.228491474	4.109927073	4.237914873	4.231404241	3.644975587	3.152084457	3.865259684	4.233270149	4.151259694	3.960911838	4.688053299	4.146151946	4.193129846	4.200239029	4.121298479	4.11824787	3.995038988	4.006450055	3.884680994	4.171788269	3.617350025	4.168655287	3.088972402	4.436173835	4.084427944	4.257367332	0.321438533	3.767910143	4.173136912	4.277246263	3.564682686	4.000451202	4.476138406	4.017998931	3.724524736	4.058410296	4.213982094	4.21891601	3.960037071	4.165680276	3.997356997	4.350022732	4.233036501	3.416630038	4.06266317	4.376817954	4.743170328	4.593438405	4.606753207	2.519657942	2.687939091	4.101908743	4.076289465	4.4377587	3.368220034	3.805230444	4.016531806	4.476785326	4.377871091	4.034677513	4.392389285	3.940602141	4.458436925	4.35559171	4.272384159	2.800934288	3.091727965	4.385727239	4.01720264	4.027336877	3.645017863	4.621738785	3.997636224	4.49615993	4.343147921	4.296011389	3.947712189	2.890224145	4.166668318	4.42101423	4.138231392	4.201389969	4.294260166	4.214129481	4.162674888	3.856185626	4.309022212	4.186333009	4.209444222	3.763358298	3.766176294	4.533187887	3.847884613	4.026013055	4.125570405	3.560990024	4.821052287	4.306861676	4.522244489	3.927525296	4.558517852	4.542105055	4.147544157	4.290660491	4.2502583
HU_018	3.781921607	4.629328558	4.178828862	4.117359884	4.005544905	4.024092147	1.852994393	4.323679299	4.095923132	4.490115602	4.27122307	4.755177497	4.373424905	4.247531995	3.276676449	4.351114234	4.225719751	4.569052298	4.373746741	4.077463029	3.908515001	4.564357484	4.347508931	4.660292988	4.285847985	4.502182007	4.142685807	4.442813511	4.527799913	3.662753683	1.761274626	4.187942437	4.332329587	4.307815834	4.710113671	4.414011612	4.460985917	4.320763456	4.593359452	4.379708577	2.636678103	4.294478657	4.178258436	4.36325294	4.084736387	4.408428725	4.597363712	4.091963642	4.431808402	4.72188894	4.614798261	4.461186024	4.64100415	4.743202379	4.763984145	4.270874337	4.575927515	4.105510329	4.324214366	4.567749234	4.513976916	4.474938192	4.700257705	4.078886294	4.296854466	4.231243326	4.189122646	4.407202469	4.487805084	4.112110246	3.655938217	4.253549056	4.11461914	3.237243702	4.193700821	3.276002059	4.330821932	4.685970905	4.044958424	4.679457982	3.955677222	3.247603257	4.592458446	4.703186348	4.348635683	4.367093307	4.465689501	4.154740736	4.461157419	4.602856679	4.386012889	4.060465931	4.246487149	3.828248673	3.9850185	3.685546068	3.695890564	4.516984982	4.452634104	4.320034402	4.544508368	4.589207976	4.296404399	4.246965533	4.446222079	4.217120084	4.10449814	4.138196474	4.361708565
HU_019	4.161073524	4.412266289	4.516804994	4.562051669	4.320581555	4.32685618	4.08068096	4.244484932	4.428005291	4.156566875	3.831930196	4.33359873	1.446237099	4.164327383	4.206904567	4.341493999	4.127074465	4.195226443	2.320550279	4.107162683	4.72060297	4.193067575	4.040540801	4.335561109	3.430341658	4.281092309	3.950240917	4.260598545	4.114818359	4.262500742	4.625680884	4.292496362	4.366653316	3.908609803	4.55116975	4.417868913	4.545151204	4.641621515	4.475129634	4.120224127	4.071693675	4.386380244	4.018968215	3.986996779	4.296965209	4.310143565	4.19974499	4.012107192	4.238883353	4.392127881	4.334139437	4.461209004	4.429627888	3.39570504	3.371073818	4.417991574	3.904992197	4.297233813	4.043064848	4.413443475	4.522243053	4.145573966	4.067620181	4.030811582	4.323642399	4.333562176	4.562834529	4.232537051	4.378914363	4.144181722	4.240828147	4.363792315	4.483259885	4.370739348	4.221704854	4.174603772	4.210519908	4.46802532	4.452897392	4.295494865	4.195984835	3.952276744	4.114811714	4.096615968	4.181576934	4.12143302	4.250879597	4.340768134	4.170573444	4.069685985	4.398878593	4.282089235	4.184347049	4.317047209	3.911799496	4.459419655	4.100362812	4.547072723	4.53542272	4.480640221	3.999298113	4.010065624	3.764092383	4.269735712	4.367591637	4.558530841	4.065452493	4.300929631	4.199196067
HU_020	3.199174022	4.175236737	4.180262737	4.253087207	4.013865361	4.197503911	4.378655209	4.123676821	3.88499543	3.919985176	3.818268219	3.891446712	4.161600951	4.551696241	4.771924437	4.25114372	4.103336743	3.928428448	4.155087233	3.826772088	3.763223501	4.084182572	4.194199054	4.158905332	3.299994191	4.379544372	4.982740828	4.105474347	4.248547516	4.296477349	2.07294372	4.31609019	4.461964225	3.362831141	3.695178945	3.926281369	4.522560646	4.262313325	4.404544358	3.713847835	4.468352167	4.342538906	3.934194965	3.040706678	3.849157381	4.315772202	3.970691407	3.671532307	3.866571129	4.049237595	4.334812906	4.403805891	4.612894346	3.371440111	2.494700341	4.389124895	3.877884894	4.362889394	3.778587616	4.398338756	4.285403698	4.098720809	3.918469764	4.047805343	4.009272014	4.045153992	4.009719041	4.249504177	4.139627672	3.266306242	3.92916447	4.17251627	4.011141232	4.049776629	4.001768564	4.219100595	3.980256318	4.431310239	4.069243707	3.912166117	3.827938384	3.632400008	4.396440722	3.685936889	3.697926818	4.116223426	4.277679997	4.466498085	3.982546315	3.957622391	4.195925543	4.098804246	4.091154917	3.653239518	3.761245558	3.288560982	4.158632572	4.282560639	4.099827742	4.211068943	4.82623719	3.949479485	3.774824162	3.876733901	4.456741975	4.594285494	4.195771335	4.267335235	4.196265732
HU_021	3.378109516	4.635271487	4.036363075	3.937694218	3.666724547	3.997385046	3.954104505	4.262412224	2.29778171	3.824098897	4.116614977	4.534533975	4.175691412	3.97076971	4.740428773	4.696322137	4.225448498	4.398111469	4.166003141	4.248928073	4.283161127	4.182949167	4.036494654	4.217291286	3.854158016	4.495214357	4.090823705	4.371577549	4.887580409	4.510545789	0.010570405	4.149062609	4.388642003	3.531876612	4.247001836	4.373926222	4.475431781	4.34990778	3.80062009	4.360354173	4.021831096	4.504382392	4.623505669	4.237767949	4.127491988	4.497621425	4.554182224	3.840724307	4.217908822	4.639082002	4.311405036	4.311554558	4.610948045	4.421920583	4.302818389	4.433952209	4.230920953	4.210852492	4.278639704	3.899031787	4.342154264	4.632852997	4.481128255	4.267998269	4.356818646	4.351572535	3.906832407	4.397296209	4.35572884	3.548106496	3.232053199	4.426590612	4.386072995	4.321892825	4.348902612	4.802701221	4.409265825	4.622987522	4.360414459	4.37582796	4.46370673	3.399320117	4.121999263	4.12842035	4.218169495	4.455311359	4.278462672	4.303681771	4.270354416	4.202148172	4.385432396	4.218382543	4.047518309	4.111334911	4.053891494	2.478387705	4.002481235	4.670899734	4.381655452	4.034459114	4.655239659	4.634697877	3.808102913	3.929919772	4.423534101	4.602582155	4.365553185	4.273554372	4.404987211
HU_022	3.26452758	3.847144646	4.29539342	4.07128411	4.570381584	4.459222667	4.257704386	4.163466826	4.704974715	4.177213837	4.010124405	4.367026531	4.333414623	4.509400273	4.076126378	3.83399325	3.904234939	4.477726771	4.288844874	4.559851332	4.720718327	4.317084732	3.875014907	4.192658629	4.265667707	4.105822327	4.98442524	4.34723385	4.007891769	4.5758199	1.966871801	4.597155951	4.415675992	4.228954584	3.712261505	3.776043883	4.209005592	4.389703026	4.033450942	4.70760252	4.335168276	4.364181148	4.199948542	3.395426635	4.613837607	4.248062177	3.873713186	4.881027453	4.388629571	3.821355703	4.302074672	4.399577546	4.202411791	2.503637125	4.45399502	4.023465338	3.912197505	4.324765336	4.578267158	4.182781481	3.924279126	4.448490639	3.978227936	3.488479776	4.165834003	4.033538577	4.694805934	3.773416636	3.799671623	1.450744405	4.191019034	4.146049138	3.941465569	3.719506534	4.188240169	4.174870057	4.497058936	3.409346338	4.310635467	3.739987581	3.221085384	4.613479081	4.256156274	4.151551883	4.472245884	4.345771044	4.657936971	4.379938142	4.273039905	4.155964515	4.030210987	4.560716274	4.407469367	4.777541613	3.703902512	4.609045176	3.648724074	5.017336121	4.351379191	4.629955847	4.007468063	3.934808838	3.432094679	4.129820937	4.425982016	3.755448638	4.221221437	4.026459018	4.41064782
HU_023	3.787490017	3.871586241	4.39843134	4.469453919	4.686482839	4.636227778	3.481900872	4.143000611	3.658760562	3.3844456	3.714125936	4.381289604	3.604361103	3.901836572	4.234849569	4.139277624	3.94232418	4.231028753	3.527081163	3.685253548	4.122026419	4.095378812	4.049588051	5.313806874	4.048860639	4.189521506	1.103431997	4.240364736	4.166171119	4.360610852	0.227297994	3.727467137	4.332673502	4.194517002	3.984288604	3.943840569	4.180046318	4.222185372	4.023628658	4.371437718	3.84517088	4.3856178	3.692954799	2.80571715	3.417551827	4.385290686	3.734016786	4.009271949	4.663981312	4.266130415	4.417309999	4.496805888	4.221061658	3.624656055	4.165655862	3.178928661	4.273305742	4.328093819	3.88599815	4.052861502	4.366647384	4.39266973	3.96921542	4.198069245	4.267298105	3.922149758	4.970444034	4.34729037	4.216277497	3.890604119	4.869509077	4.229702296	4.200706948	3.747108951	4.139993279	3.84640755	4.168541461	4.588791222	4.286487429	4.490693802	4.254866805	3.200812591	4.000214964	3.915723693	3.956276821	4.339761847	4.128114826	4.315440218	4.288919139	4.112236976	4.415859504	3.790356495	4.146465942	2.622717807	3.956699772	4.589248893	5.823615583	4.563748127	4.424450713	4.300503931	5.042936201	4.273896385	4.446872148	4.448093736	4.407831871	4.083327977	4.048706906	4.117726076	4.175794892
