r.r500	sckT	sckT.lo	sckT.up	type
0.004391	0.3974	0.3801	0.4155	Cool core
0.005202	0.4102	0.3961	0.4248	Cool core
0.006181	0.4248	0.4132	0.4367	Cool core
0.006241	0.4256	0.4141	0.4375	Cool core
0.00723	0.4394	0.4292	0.4498	Cool core
0.007312	0.4405	0.4304	0.4508	Cool core
0.00842	0.455	0.4454	0.4647	Cool core
0.00948	0.468	0.4585	0.4778	Cool core
0.009575	0.4692	0.4596	0.4789	Cool core
0.009957	0.4737	0.4641	0.4836	Cool core
0.010867	0.4842	0.4743	0.4943	Cool core
0.013201	0.5095	0.4987	0.5205	Cool core
0.013818	0.5158	0.5048	0.527	Cool core
0.014544	0.5231	0.5118	0.5345	Cool core
0.015334	0.5308	0.5193	0.5425	Cool core
0.015454	0.5319	0.5204	0.5437	Cool core
0.016288	0.5398	0.528	0.5519	Cool core
0.017147	0.5478	0.5358	0.5601	Cool core
0.019281	0.5668	0.5543	0.5795	Cool core
0.019781	0.571	0.5584	0.5839	Cool core
0.019802	0.5712	0.5586	0.584	Cool core
0.020433	0.5764	0.5637	0.5893	Cool core
0.021056	0.5813	0.5686	0.5944	Cool core
0.021206	0.5825	0.5698	0.5955	Cool core
0.022842	0.5949	0.5819	0.6081	Cool core
0.024059	0.6036	0.5904	0.6171	Cool core
0.024257	0.6049	0.5917	0.6185	Cool core
0.024942	0.6097	0.5962	0.6235	Cool core
0.025141	0.6111	0.5975	0.6249	Cool core
0.025186	0.6114	0.5978	0.6252	Cool core
0.028902	0.6359	0.621	0.6511	Cool core
0.028905	0.6359	0.621	0.6511	Cool core
0.029818	0.6418	0.6266	0.6573	Cool core
0.030636	0.647	0.6317	0.6627	Cool core
0.030765	0.6478	0.6325	0.6635	Cool core
0.030869	0.6485	0.6331	0.6642	Cool core
0.031026	0.6495	0.6341	0.6652	Cool core
0.031102	0.6499	0.6345	0.6657	Cool core
0.033884	0.6683	0.6526	0.6843	Cool core
0.034035	0.6693	0.6536	0.6853	Cool core
0.036878	0.6885	0.6725	0.7049	Cool core
0.037023	0.6895	0.6735	0.7059	Cool core
0.037032	0.6895	0.6735	0.706	Cool core
0.038188	0.6973	0.681	0.714	Cool core
0.038448	0.699	0.6826	0.7158	Cool core
0.038562	0.6998	0.6833	0.7166	Cool core
0.039925	0.7087	0.6918	0.726	Cool core
0.040729	0.7138	0.6967	0.7315	Cool core
0.043049	0.7282	0.7101	0.7468	Cool core
0.043184	0.729	0.7108	0.7477	Cool core
0.043227	0.7293	0.7111	0.748	Cool core
0.045566	0.7427	0.7237	0.7623	Cool core
0.046396	0.7473	0.7279	0.7671	Cool core
0.046559	0.7481	0.7288	0.768	Cool core
0.046574	0.7482	0.7288	0.7681	Cool core
0.047337	0.7522	0.7326	0.7723	Cool core
0.049578	0.7638	0.7439	0.7843	Cool core
0.0498	0.765	0.745	0.7855	Cool core
0.051102	0.7717	0.7516	0.7924	Cool core
0.052455	0.7788	0.7584	0.7996	Cool core
0.054276	0.7881	0.7674	0.8093	Cool core
0.054943	0.7915	0.7706	0.8129	Cool core
0.055082	0.7922	0.7713	0.8136	Cool core
0.055931	0.7964	0.7753	0.8181	Cool core
0.056595	0.7997	0.7784	0.8216	Cool core
0.056724	0.8003	0.779	0.8223	Cool core
0.056873	0.8011	0.7797	0.8231	Cool core
0.062286	0.8264	0.8032	0.8502	Cool core
0.062529	0.8275	0.8042	0.8514	Cool core
0.062668	0.8281	0.8048	0.852	Cool core
0.063618	0.8322	0.8087	0.8564	Cool core
0.064403	0.8355	0.8118	0.8598	Cool core
0.064887	0.8375	0.8138	0.8619	Cool core
0.066083	0.8423	0.8185	0.8668	Cool core
0.066851	0.8454	0.8216	0.8699	Cool core
0.068641	0.8529	0.8292	0.8773	Cool core
0.06983	0.858	0.8344	0.8823	Cool core
0.072623	0.8704	0.8472	0.8942	Cool core
0.073143	0.8727	0.8496	0.8964	Cool core
0.073479	0.8742	0.8511	0.8979	Cool core
0.075122	0.8814	0.8586	0.9049	Cool core
0.075648	0.8837	0.8609	0.9071	Cool core
0.077729	0.8926	0.87	0.9158	Cool core
0.078016	0.8938	0.8712	0.917	Cool core
0.080461	0.9037	0.8812	0.9268	Cool core
0.081598	0.908	0.8855	0.9311	Cool core
0.081756	0.9086	0.8861	0.9317	Cool core
