month	day	variable	value
5	1	ozone	41
5	2	ozone	36
5	3	ozone	12
5	4	ozone	18
5	5	ozone	NA
5	6	ozone	28
5	7	ozone	23
5	8	ozone	19
5	9	ozone	8
5	10	ozone	NA
5	11	ozone	7
5	12	ozone	16
5	13	ozone	11
5	14	ozone	14
5	15	ozone	18
5	16	ozone	14
5	17	ozone	34
5	18	ozone	6
5	19	ozone	30
5	20	ozone	11
5	21	ozone	1
5	22	ozone	11
5	23	ozone	4
5	24	ozone	32
5	25	ozone	NA
5	26	ozone	NA
5	27	ozone	NA
5	28	ozone	23
5	29	ozone	45
5	30	ozone	115
5	31	ozone	37
6	1	ozone	NA
6	2	ozone	NA
6	3	ozone	NA
6	4	ozone	NA
6	5	ozone	NA
6	6	ozone	NA
6	7	ozone	29
6	8	ozone	NA
6	9	ozone	71
6	10	ozone	39
6	11	ozone	NA
6	12	ozone	NA
6	13	ozone	23
6	14	ozone	NA
6	15	ozone	NA
6	16	ozone	21
6	17	ozone	37
6	18	ozone	20
6	19	ozone	12
6	20	ozone	13
6	21	ozone	NA
6	22	ozone	NA
6	23	ozone	NA
6	24	ozone	NA
6	25	ozone	NA
6	26	ozone	NA
6	27	ozone	NA
6	28	ozone	NA
6	29	ozone	NA
6	30	ozone	NA
7	1	ozone	135
7	2	ozone	49
7	3	ozone	32
7	4	ozone	NA
7	5	ozone	64
7	6	ozone	40
7	7	ozone	77
7	8	ozone	97
7	9	ozone	97
7	10	ozone	85
7	11	ozone	NA
7	12	ozone	10
7	13	ozone	27
7	14	ozone	NA
7	15	ozone	7
7	16	ozone	48
7	17	ozone	35
7	18	ozone	61
7	19	ozone	79
7	20	ozone	63
7	21	ozone	16
7	22	ozone	NA
7	23	ozone	NA
7	24	ozone	80
7	25	ozone	108
7	26	ozone	20
7	27	ozone	52
7	28	ozone	82
7	29	ozone	50
7	30	ozone	64
7	31	ozone	59
8	1	ozone	39
8	2	ozone	9
8	3	ozone	16
8	4	ozone	78
8	5	ozone	35
8	6	ozone	66
8	7	ozone	122
8	8	ozone	89
