gene	log2FoldChange	pvalue	padj
TSPAN6	-0.379519160603826	0.000111040228504351	0.00086247770432246
DPM1	0.196920437103572	0.0709880411448167	0.192551708335562
SCYL3	0.0309927556935827	0.819706796521032	0.913893946688934
C1orf112	-0.0898022980654877	0.745374782340767	0.874295125423307
CFH	0.416038737769461	1.43528531587356e-06	1.68027555050407e-05
FUCA2	-0.243158484476763	0.00517157414082648	0.0242282984209246
GCLC	-0.0479632463066552	0.751757801850401	0.878098175067824
NFYA	-0.491460095564954	2.5297138427466e-05	0.000231061184996843
STPG1	-0.123424952318539	0.472449261012033	0.685380382601009
NIPAL3	-0.0456493115884171	0.648939650843847	0.817297135820162
LAS1L	-0.00910444202465039	0.929652161343514	0.967229706700473
ENPP4	0.194816676763876	0.310849482161192	0.535135921835781
SEMA3F	-0.250414570959415	0.0171900765786475	0.0642191058648296
CFTR	-0.51151584185601	0.16701768870347	0.359066269339249
ANKIB1	-0.229393264032205	0.00354653778922043	0.0176218239233647
CYP51A1	0.00631888474201519	0.981254486067092	0.989727964554653
KRIT1	-0.0412307174738852	0.682259196220447	0.837505755360418
RAD52	-0.301903195449833	0.0476439871612539	0.142913422967356
BAD	0.0804195347788325	0.587422887066396	0.775273287795046
LAP3	0.177333000590783	0.0852305698783318	0.219306563148218
CD99	0.0834036699096489	0.290951805508892	0.514909887205704
WNT16	-0.151152518043186	0.723611960410993	0.862183091624165
HECW1	0.0919084422750955	0.624231316827243	0.800765325138733
MAD1L1	-0.160302499653302	0.20958777406091	0.416206118041102
LASP1	0.385518947318978	2.33305167621283e-05	0.000215266252207357
SNX11	0.384389490510871	0.00420862512465014	0.020322136602523
TMEM176A	0.325564029242391	0.0148634650421569	0.0573874758031982
M6PR	-0.0766766152420227	0.394459245591767	0.614986433649006
KLHL13	-0.910391131478616	5.35166876277325e-11	1.18893413522245e-09
CYP26B1	-0.871936613310976	0.00225559506419403	0.012037647871147
DBNDD1	-0.275529831351459	0.141516501338095	0.319474626321201
ALS2	0.164160985594272	0.0794760398070944	0.20882099211755
CASP10	-0.378772557563342	0.0684479028100035	0.187408876578155
CFLAR	1.1546615950607	7.13227106137279e-23	5.26150024996391e-21
TFPI	-0.195523769119723	0.180255961625406	0.378223518826961
NDUFAF7	-0.0547210416061339	0.677250457762696	0.834909114393958
RBM5	-0.190965653615415	0.0392443462712773	0.122730356977634
MTMR7	0.79820400503592	0.00715171678658473	0.0315946044170669
SLC7A2	0.519631409791844	0.152549116685896	0.33667367321259
ARF5	0.35654826007123	3.67342494186371e-05	0.000320888757811075
SARM1	-0.156947336841573	0.436080122585346	0.654353608761155
POLDIP2	0.136620507197193	0.10887970842641	0.26378179517888
PLXND1	-0.041344565812173	0.693969401367433	0.844344308018929
AK2	0.02590655587122	0.83653100482668	0.922301881537061
FKBP4	-0.0767181930790334	0.486728325330357	0.696157149592683
KDM1A	-0.300811899536022	0.000443684312699275	0.00294098225846837
RBM6	-0.190904575047097	0.0335639979792613	0.109262179269381
CAMKK1	-0.526316232580506	0.0351405551376622	0.113299263720718
RECQL	0.356640915497247	0.000319384062176142	0.00221614017580187
VPS50	-0.0348230277719935	0.750319646304729	0.876994034320849
HSPB6	-0.0781724405366202	0.374993537826205	0.596131096375211
ARHGAP33	-0.379354189593045	0.053290146339027	0.155729241140091
NDUFAB1	0.0955894670037631	0.437164910346756	0.655279854921862
PDK4	1.47657176654663	2.70071200908272e-05	0.000244363719225572
ZMYND10	-0.279399142567815	0.448451019685581	0.66412619551554
ABCB5	-1.17209674275685	0.00232725423039173	0.0123601810968583
SLC25A13	-0.00363328267910792	0.972457031275579	0.985548033303479
ST7	-0.551014260531225	2.99667131517652e-05	0.000266913219742297
CDC27	0.0482052349702664	0.574940912880584	0.765429496139612
HCCS	-0.148123364467064	0.251702934419844	0.468237915406028
DVL2	-0.319699150292426	0.000783592675005158	0.00486370042803121
UPF1	0.231246697819765	0.00423485442604347	0.0204232047359206
SKAP2	0.207577739818213	0.0522125114913498	0.153423385205571
SLC25A5	-0.0377700460455536	0.683866393052703	0.838264210550102
MCUB	0.0798085617611294	0.597792793643862	0.782106388266985
POLR2J	0.050886471600517	0.633580510877183	0.806733043200068
DHX33	0.345740627330912	0.0069148427495654	0.0308130189343351
THSD7A	0.34560420807885	0.341691638722135	0.56453082788447
LIG3	-0.369371595029657	0.0206834124515775	0.0744738097100472
RPAP3	-0.22005095360165	0.0940244330317207	0.236256308422925
ACSM3	-0.00536706148246045	0.971663263112544	0.985404472187674
REXO5	-0.319255787880808	0.164720258075276	0.355349612175845
CIAPIN1	0.157335411454321	0.141961837133799	0.320116539439284
SPPL2B	0.0585193153517236	0.581772913359811	0.77093560842613
FAM214B	-0.184695271978822	0.0822279486451855	0.213941306794461
COPZ2	-0.101571771794912	0.263051735758781	0.482710266832765
PRKAR2B	0.57423280498245	0.000902107933092425	0.00548801059141659
MSL3	0.137756534567253	0.262058601841701	0.481460858340723
CREBBP	-0.104607493236682	0.289757413074831	0.513326415579426
TSPOAP1	0.22337219922319	0.214819552299471	0.423025273302379
MPO	-0.00630323955004732	0.85960126148804	0.933535203695468
GCFC2	0.138655301744325	0.283707036067999	0.506272578946343
WDR54	0.284475902006271	0.0824762647076265	0.214474455938975
CROT	-0.239286285003251	0.0653532097340194	0.181650583681109
ABCB4	-0.955039618548099	0.00163533697342741	0.00912875650119614
KMT2E	0.0788348077054629	0.368216516992117	0.590122941226461
RHBDD2	-0.114607316677007	0.232831065921085	0.445138691211659
SOX8	-0.382323459272037	0.188219064244051	0.389055038546021
IBTK	-0.0594642392635919	0.531295925176536	0.730994161553795
ZNF195	-0.297031134101274	0.0460040843949213	0.139185650592467
MYCBP2	-0.0268586731872715	0.765507967536276	0.884757184859711
FBXL3	0.453724395043736	3.07595942303004e-05	0.000273501397833201
PDK2	-0.0706187618151453	0.5326511681449	0.732270683054665
ITGA3	0.337237589861329	0.00713531728294063	0.0315492749837622
ZFX	0.0759541474371528	0.4225308010142	0.64260421886945
LAMP2	0.0610819522496442	0.404802069010075	0.624686047442432
ITGA2B	-0.128927829795234	0.695081770854743	0.84506313527836
GDE1	0.161443297151303	0.0531453398269876	0.155541922826973
REX1BD	-0.0472804795470745	0.732491806437093	0.866934725696408
CRLF1	0.244991694954255	0.203195271130063	0.407818887045472
OSBPL7	-0.900408149735595	1.00870355942522e-07	1.45347583917925e-06
TMEM98	-0.0366618960448974	0.633967866493036	0.80675189368937
MAP3K14	-0.646686346322597	0.000365602159588253	0.00248757903642175
TMEM132A	-0.494593521426022	2.05044778374722e-05	0.000192415118258154
AP2B1	0.0358000202395307	0.727070336173309	0.863925838055782
ZNF263	0.0936981078866801	0.43449332833173	0.652925744270819
CX3CL1	0.768395642252855	0.0509093936637261	0.150607329905437
SPATA20	-0.112824993287781	0.190122629431932	0.391230865118241
CACNA1G	-1.223025090919	2.90959303614e-07	3.8906736403439e-06
TNFRSF12A	-0.21831039640997	0.217616793609216	0.426492401660976
MAP3K9	-0.110566356532454	0.886095519389537	0.946134633669045
RALA	-0.551146084396801	1.54847857476512e-06	1.80024281929864e-05
BAIAP2L1	-0.203159683153454	0.198968315683155	0.402109515166192
KDM7A	-0.00909739110423726	0.944318312329391	0.973487350122127
ETV1	-0.247970243634226	0.202244976738361	0.406599693747823
AGK	-0.000905249469075968	0.994024170831286	0.996964804580945
ALDH3B1	0.43126055935033	0.000152036013682033	0.00114962788570357
PHTF2	-0.429043885549211	6.369600813954e-06	6.66258516618336e-05
CCL26	-0.0543257424864432	0.839679435354064	0.924132881311225
FARP2	0.578793493102679	3.00487541180325e-07	4.00771358989468e-06
GGCT	-0.157537249641438	0.29312569247766	0.516858637536661
DBF4	-0.33719683672343	0.0801478409858991	0.210013496315532
TBXA2R	-0.590019827919817	0.00715851232040832	0.0316155665872402
IFRD1	-0.0483511639119361	0.602922078322526	0.786072976499318
COX10	0.210289440264212	0.18794038235289	0.388731094254656
GTF2IRD1	-0.217275361800028	0.131305283540943	0.302637182001706
PAF1	-0.204501844741178	0.0394853587045386	0.123310767775284
VPS41	-0.0671755987093184	0.423266917251085	0.643002513240121
ARHGAP44	-0.0331802247358292	0.867787160103636	0.937850713361728
ELAC2	0.156162274945382	0.13163608648942	0.303236991109201
ARSD	-0.00728753067875834	0.939989860914132	0.97150314290508
PNPLA4	0.0097732647819372	0.953166700963982	0.977760385839995
MYH13	1.36539975223319	0.000428965057638761	0.00285899852042286
ADIPOR2	0.233324043161355	0.0100466070663644	0.041841865950623
CDKL3	-0.486924936160774	0.173207093451402	0.368650878911337
MARK4	0.0835701640738191	0.40486530821409	0.624717543736736
CCDC124	0.230829797107069	0.0389420199912081	0.122152804542634
PAFAH1B1	0.100631907590711	0.17574498891814	0.372049463015224
KIAA0100	-0.0114220699774333	0.892333535496151	0.948631210803258
GAS7	-1.2740647014714	1.42989162599622e-13	4.44477199387292e-12
TRAPPC6A	0.237028504961863	0.239135923310542	0.452558937719644
ST7L	0.121190756424876	0.521910742274777	0.724938722918245
PAX6	0.23594720275984	0.373109184240293	0.594377419487842
RPUSD1	0.102008689669096	0.452625900040005	0.667424074867712
RHBDF1	0.0578006842257436	0.551820065188809	0.746512158170239
LUC7L	-0.175568607687194	0.0768241756204313	0.203771450474674
CACNA2D2	0.291758257791608	0.51814528714536	0.722246093229108
BAIAP3	0.206140285960931	0.572426824621283	0.763598960201674
TSR3	0.097195277336759	0.432270020649049	0.650789881688023
PIGQ	0.153258685704723	0.222545671423672	0.433069438597775
CRAMP1	0.0849040195665579	0.552557719265966	0.747054759999473
