Xvalue	Yvalue	Distance
179	302	104.139329746259
14	310	216.092572755289
195	232	32.3882694814033
306	366	196.956848065763
118	243	92.5904962725657
299	350	179.724789609002
229	335	138.079687137537
244	280	91.3016976841066
399	113	217.186555753343
374	107	197.294196569489
153	151	67.8969807870718
90	154	119.230868486311
91	102	146.57762448614
256	255	78.4920378127616
197	160	40.1123422402632
388	155	193.31063085097
348	5	244.804003235241
137	326	140.872282582487
355	272	170.906407135602
328	393	231.587996234693
26	288	194.987179065702
7	277	207.793166393893
383	55	233.482333378781
254	331	141.693330824002
211	238	39.560080889705
78	252	132.619757200803
81	339	182.980873317404
43	39	224.877744563574
359	399	254.719453517002
332	137	146.263460918987
143	226	62.6498204307083
32	48	226.556836136101
109	77	153.003267938956
263	83	132.883407542101
330	184	130.980914640264
23	373	247.503535328286
309	196	109.073369802166
135	257	86.4522989862039
364	168	167.092788593643
224	286	89.2860571421989
166	94	111.319360400606
217	382	182.792231782426
290	344	169.811660377019
69	372	216.205920362972
72	20	220.871003076456
76	195	124.100765509323
63	349	202.410474037289
141	164	69.1158447825099
210	52	148.337453126309
347	22	230.852766931653
390	177	191.387042403607
294	42	183.847763108502
277	315	138.397976863826
41	84	196.817174047388
389	11	267.286363288515
316	121	140.346001011785
223	400	201.318156160839
16	85	216.981566037302
116	194	84.2140130857092
94	391	218.442212037875
262	368	179.075403112767
235	198	35.0570962859162
86	249	124.084648526721
39	200	161
159	386	190.465219922168
240	250	64.0312423743285
209	292	92.439169187093
397	16	269.564463533308
34	33	235.46761985462
4	40	253.013833613896
13	10	266.587696640336
357	337	208.369863463986
243	125	86.4522989862039
308	265	126.051576745394
278	263	100.26464980241
89	186	111.879399354841
25	61	223.486017459706
291	375	197.246039250475
286	152	98.488578017961
336	319	180.712478816489
121	54	166.003012020867
110	26	195.897932607774
158	235	54.6717477313466
64	289	162.533073557353
199	185	15.0332963783729
67	253	143.171226159449
151	115	98.1121806912883
85	330	173.565549577098
165	309	114.481439543709
136	320	136
51	205	149.083869013385
74	267	142.70599146497
178	25	176.377436198625
236	352	156.204993518133
98	282	130.873985191863
214	215	20.5182845286832
127	336	154.353490404331
212	57	143.502613216624
174	105	98.4936546179499
273	279	107.563934476199
