Transcripts	CT1	CT2	CT3	LT20_1	LT20_2	LT20_3	LT15_1	LT15_2	LT15_3	LT12_1	LT12_2	LT12_3	LT12_6_1	LT12_6_2	LT12_6_3
transcript_0	655.78	631.08	669.89	654.21	402.56	447.09	510.08	442.22	399.82	483.3	437.89	444.06	405.43	416.63	464.75
transcript_1	92.72	112.26	150.3	88.35	76.35	94.55	120.24	80.89	73.94	96.25	82.62	85.48	65.12	61.94	73.44
transcript_10	21.74	31.11	22.58	15.09	13.67	13.24	12.48	7.53	13.35	11.16	11.36	6.96	7.82	4.01	10.02
transcript_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_1000	0	14.15	36.01	0	0	193.59	208.45	0	232.4	148.58	0	181.61	0.02	12.18	0
transcript_10000	89.18	158.04	86.28	82.97	117.78	102.24	129.61	112.73	85.7	80.89	124.11	115.25	113.87	107.69	119.83
transcript_10001	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66	0
transcript_10002	16.61	18.54	15.41	8.08	9.32	7.38	20.58	4.9	24.82	13.55	22.22	17.65	76.93	21.6	32.82
transcript_10004	245.29	0	0.34	130	0	16.31	0	14.28	45.38	59.27	26.57	0	3.34	1.61	0
transcript_10005	173.78	15.35	270.56	18.05	144.8	5.11	6.19	135.24	180.12	34.55	9.19	1.06	129.6	22.57	40.62
transcript_10006	73.4	88.89	84.27	98.78	86.53	98.54	0	0	70.75	0	0	76.66	0	59.63	0
transcript_10007	1605.63	1754.43	2046.62	1673.49	2321.14	2197.86	1934.17	1743.92	1708.51	1432.08	1881.46	1828.98	1945.62	1816.47	1815.35
transcript_10008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10009	0	0	0	1.04	0	0.93	0	0	0.17	0	1.53	1.8	0	0	0
transcript_10010	0	0	5.95	0	0.02	0.05	0	0	0	0	0	337.15	63.41	0	0
transcript_10011	1858.18	943.05	932.31	842.56	1099.04	1196.89	1059.22	2042.71	888.15	717.27	997.92	895.06	1154.53	978.41	966.78
transcript_10012	6.31	5.89	10.49	5.38	10.98	6.95	9.12	6.72	5.99	6.41	11.55	3.78	9.39	7.57	10.09
transcript_10013	598.57	715.91	715.21	614.7	718.46	711.91	685.33	718.87	709.03	663.57	714.82	634.31	755.93	594.6	687.83
transcript_10014	125.47	2.63	5.23	46.89	0	14.15	23.25	13.19	35.23	44.93	9.38	47.12	0	0	0
transcript_10015	44.41	61.98	70	63.19	72.68	66.19	66.22	108.15	83.18	60.8	70.33	77.69	67.16	79.33	73.43
transcript_10016	0	98.03	81.34	0	44.83	23.3	0	16.36	0	57.22	0	58.53	0	35.79	59.17
transcript_10017	0	0	46.47	0	0	0	0	14.43	0	0	0	38.12	34.23	0	0.03
transcript_10018	0	0	0	0	0	0	0	0	0	0	0	0.65	0	0	0
transcript_10019	0	0.22	0	0	0	0	0	0	0	0.2	0	0	0	0	0.43
transcript_1002	56.96	42.57	70.97	57.47	60.73	53.05	58.77	90.49	75.15	75.4	58.23	47.8	69.82	56.07	89.48
transcript_10020	0	0	0	0	0	0.76	0	0	0	0.67	1.01	0	0	0	2.93
transcript_10021	221	276.57	235.41	168.46	268.88	234.35	177.89	235.64	145.06	144.27	155.13	189.34	146.43	169.6	285.08
transcript_10022	19.54	23.53	0	19.13	19.64	35.79	27.12	22.07	17.32	29.56	25	4.89	13.54	58.76	20.29
transcript_10023	8.69	6.38	8.67	9.72	3.9	12.53	10.01	8.96	7.59	6.8	8.7	12.83	15.66	7.86	3.36
transcript_10024	0	0	0	0	0	0.06	0	0	0.17	0	0	0	0	0	0
transcript_10025	3.21	2.63	1.91	1.02	3.36	3.03	2.04	0.57	2.13	1.84	3.13	4.03	2.54	5.2	2.19
transcript_10026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10027	2281.33	2479.51	2611.55	2274.46	2850.86	2890.21	2777.82	2290.72	2256.76	1922.89	2512.11	2424.79	3177.18	2659.87	2751.46
transcript_10028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcript_10029	0	0	0	0	13795.08	0	0	26616.63	0.33	11.91	18.65	22975.22	0.39	0	9.11
transcript_1003	45.19	60.17	47.22	40.53	72.47	78.4	94.5	64.14	56.28	82.49	94.56	43.33	203.22	127.85	138.13
transcript_10030	0	0	0	0	0	0	0	0	0	0	0	0	20.05	0	35.37
