Value	Level1	Level2
6	Group1	GroupA
10	Group1	GroupA
5	Group1	GroupB
6	Group1	GroupA
3	Group1	GroupA
2	Group1	GroupB
10	Group1	GroupA
10	Group1	GroupA
9.5	Group1	GroupA
0	Group1	GroupA
9.5	Group1	GroupA
7	Group1	GroupA
3	Group1	GroupA
4	Group1	GroupA
7	Group1	GroupA
2	Group1	GroupA
7.5	Group1	GroupA
6.5	Group1	GroupA
7	Group1	GroupA
3	Group1	GroupA
10	Group1	GroupA
0	Group1	GroupB
0.5	Group1	GroupB
5	Group1	GroupA
8	Group1	GroupA
3	Group1	GroupA
7.5	Group1	GroupB
6.5	Group1	GroupA
4.5	Group1	GroupB
3	Group1	GroupA
6	Group1	GroupA
4	Group1	GroupA
4.5	Group1	GroupA
7	Group1	GroupA
5	Group1	GroupA
5	Group1	GroupA
2	Group1	GroupA
7.5	Group1	GroupA
3.5	Group1	GroupA
5	Group1	GroupA
2	Group1	GroupA
4	Group1	GroupA
5	Group1	GroupA
5.5	Group1	GroupA
10	Group1	GroupA
7	Group1	GroupA
10	Group1	GroupA
6	Group1	GroupA
7.5	Group1	GroupA
3.5	Group1	GroupA
2.5	Group1	GroupA
3.5	Group1	GroupA
8.5	Group1	GroupB
3	Group1	GroupA
6	Group1	GroupA
5.5	Group1	GroupA
3	Group1	GroupA
2	Group1	GroupA
4	Group1	GroupA
9	Group1	GroupA
10	Group1	GroupA
5.5	Group1	GroupA
6	Group1	GroupA
9	Group1	GroupA
6	Group1	GroupA
5	Group1	GroupA
6	Group1	GroupA
1.5	Group1	GroupA
5.5	Group1	GroupA
9.5	Group1	GroupA
8	Group1	GroupA
0	Group1	GroupA
3	Group1	GroupA
7	Group1	GroupA
5	Group1	GroupA
10	Group1	GroupA
7.5	Group1	GroupA
6	Group1	GroupA
6.5	Group1	GroupB
6.5	Group1	GroupA
3	Group1	GroupA
10	Group1	GroupA
8.5	Group1	GroupA
1.5	Group1	GroupA
9	Group1	GroupA
5.5	Group1	GroupB
6	Group2	GroupA
NA	Group2	GroupA
10	Group2	GroupB
9	Group2	GroupA
6.5	Group2	GroupA
0.5	Group2	GroupB
10	Group2	GroupA
10	Group2	GroupA
9.5	Group2	GroupA
2.5	Group2	GroupA
7.5	Group2	GroupA
8.5	Group2	GroupA
8	Group2	GroupA
5	Group2	GroupA
8.5	Group2	GroupA
6	Group2	GroupA
6	Group2	GroupA
6	Group2	GroupA
9	Group2	GroupA
4.5	Group2	GroupA
10	Group2	GroupA
1.5	Group2	GroupB
0.5	Group2	GroupB
7.5	Group2	GroupA
9	Group2	GroupA
10	Group2	GroupA
7	Group2	GroupB
10	Group2	GroupA
8.5	Group2	GroupB
2	Group2	GroupA
10	Group2	GroupA
10	Group2	GroupA
7	Group2	GroupA
7	Group2	GroupA
7.5	Group2	GroupA
8.5	Group2	GroupA
2	Group2	GroupA
7	Group2	GroupA
4	Group2	GroupA
7.5	Group2	GroupA
3.5	Group2	GroupA
8	Group2	GroupA
6	Group2	GroupA
2.5	Group2	GroupA
10	Group2	GroupA
8.5	Group2	GroupA
10	Group2	GroupA
4.5	Group2	GroupA
6.5	Group2	GroupA
7.5	Group2	GroupA
7.5	Group2	GroupA
9.5	Group2	GroupA
6	Group2	GroupB
8.5	Group2	GroupA
10	Group2	GroupA
8	Group2	GroupA
8	Group2	GroupA
8.5	Group2	GroupA
9	Group2	GroupA
10	Group2	GroupA
10	Group2	GroupA
6	Group2	GroupA
8.5	Group2	GroupA
9	Group2	GroupA
6	Group2	GroupA
6.5	Group2	GroupA
8	Group2	GroupA
NA	Group2	GroupA
4	Group2	GroupA
9.5	Group2	GroupA
8	Group2	GroupA
5	Group2	GroupA
3	Group2	GroupA
7	Group2	GroupA
4	Group2	GroupA
10	Group2	GroupA
8	Group2	GroupA
8	Group2	GroupA
9.5	Group2	GroupB
10	Group2	GroupA
4	Group2	GroupA
10	Group2	GroupA
10	Group2	GroupA
10	Group2	GroupA
10	Group2	GroupA
5.5	Group2	GroupB
