Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
1	12226377	12267836	2	5900307	5827251	cccccc
15	5635667	5667377	17	4459512	4393226	cccccc
9	7916366	7945659	3	8618518	8486865	cccccc
2	8214553	8242202	18	5964233	6027199	cccccc
13	2330522	2356593	14	6224069	6138821	cccccc
11	10861038	10886821	10	8099058	8011502	cccccc
13	5513047	5538425	15	505308	465233	cccccc
14	10486462	10509436	7	1896838	1924231	cccccc
2	8174690	8196783	18	6184171	6095794	cccccc
1	12074582	12095876	2	6269739	6220277	cccccc
3	11361564	11381915	2	6269739	6220277	cccccc
12	6940150	6960376	17	5452711	5434326	cccccc
11	10972855	10993029	10	7926960	7982427	cccccc
3	16525132	16545202	16	8271851	8350816	cccccc
3	13156603	13176445	16	9892631	9893363	cccccc
5	6941685	6961471	1	1883645	1840139	cccccc
18	2959117	2978799	4	3326185	3298715	cccccc
2	7861297	7880718	18	6574926	6579734	cccccc
13	14241771	14260957	12	4593022	4470997	cccccc
12	14327134	14346189	1	1459819	1426934	cccccc
2	5896568	5915456	18	3039077	2960420	cccccc
12	6498564	6517371	17	3949043	3899131	cccccc
15	3267353	3286152	17	1736470	1773113	cccccc
3	11383491	11402125	2	6317928	6288109	cccccc
2	5468563	5486724	18	2286726	2259998	cccccc
18	2776418	2794527	4	3740570	3696127	cccccc
14	10864900	10882813	12	2837402	2886960	cccccc
13	5039987	5057582	8	2308835	2201113	cccccc
18	1661268	1678853	4	5521515	5591124	cccccc
19	2228787	2245811	14	10811597	10692895	cccccc
18	12985461	13002343	11	9436297	9437288	cccccc
13	5996803	6013615	15	1752074	1716656	cccccc
18	9412954	9429577	11	3708675	3717812	cccccc
15	10146812	10163410	17	9403896	9556779	cccccc
2	6348948	6365332	18	3668641	3696816	cccccc
18	11324771	11341078	11	2655448	2644031	cccccc
3	14730936	14747211	2	3075696	3118920	cccccc
1	259024	275262	6	628769	597209	cccccc
2	8146130	8162168	18	6246316	6235448	cccccc
3	7167694	7183592	9	3133979	3155012	cccccc
7	9374730	9390613	1	1798112	1813176	cccccc
9	9665599	9681195	3	5528939	5494395	cccccc
1	8601517	8617020	2	3679351	3708119	cccccc
15	5268757	5284175	17	3949043	3899131	cccccc
9	10599136	10614534	3	1303982	1346901	cccccc
11	11444506	11459822	19	8734790	8742548	cccccc
5	2761690	2776586	7	1896838	1924231	cccccc
4	16962314	16977153	3	4827356	4848059	cccccc
18	11290221	11305025	11	2676795	2693063	cccccc
15	10433645	10448426	17	10124363	10159290	cccccc
5	4868991	4883709	18	2306657	2322747	cccccc
5	6903924	6918616	1	1798112	1813176	cccccc
13	6640974	6655646	16	955444	899046	cccccc
14	1349188	1363843	18	7110426	7146664	cccccc
14	3839772	3854358	15	11853020	11738091	cccccc
2	544916	559493	18	875996	900898	cccccc
2	544916	559493	3	2731911	2681462	cccccc
13	6192131	6206647	15	5475452	5523591	cccccc
9	7994937	8009448	18	7110426	7146664	cccccc
18	6172633	6187114	4	528453	504458	cccccc
4	16901002	16915436	3	4617416	4601055	cccccc
9	4834559	4848984	6	6771122	6717324	cccccc
1	230619	245043	6	562936	583387	cccccc
5	15703696	15718102	18	5555210	5565108	cccccc
3	12591502	12605891	16	2694162	2652114	cccccc
5	12334581	12348948	18	8020699	8002639	cccccc
13	6424247	6438443	16	316837	332353	cccccc
14	9358458	9372503	5	904551	927399	cccccc
14	9358458	9372503	7	3953472	3928528	cccccc
1	12300626	12314617	2	5758099	5775361	cccccc
14	10339421	10353361	7	2136775	2129002	cccccc
2	6615039	6628944	18	4112734	4098351	cccccc
9	12722692	12736403	18	875996	900898	cccccc
9	12722692	12736403	3	2731911	2681462	cccccc
3	5294825	5308459	9	2101639	2085471	cccccc
3	4809981	4823584	9	2101639	2085471	cccccc
3	8391822	8405418	9	4763948	4808641	cccccc
18	4499230	4512783	4	1758028	1786297	cccccc
2	15510190	15523687	7	4134697	4151557	cccccc
12	6356859	6370352	17	4305424	4277971	cccccc
3	9838739	9852183	9	489240	501935	cccccc
11	10103354	10116767	19	7005502	7014427	cccccc
1	12048862	12062202	2	6317928	6288109	cccccc
2	7814515	7827835	18	6703166	6694803	cccccc
7	14845851	14859151	10	1581430	1562230	cccccc
7	14845851	14859151	12	3840537	3862485	cccccc
9	5825396	5838659	6	2472179	2453004	cccccc
7	13674997	13688236	18	5715724	5718850	cccccc
15	10224870	10238088	1	7861008	7870867	cccccc
15	10224870	10238088	17	9759285	9731937	cccccc
1	13910819	13924005	9	604487	584457	cccccc
15	7534583	7547695	17	4903898	4890081	cccccc
1	16249501	16262592	9	3832818	3824986	cccccc
17	3350208	3363251	12	7493201	7477676	cccccc
16	13518609	13531597	8	10176717	10159433	cccccc
11	6917401	6930365	12	2002443	1992758	cccccc
