Chr	Start	End	fill	species	size	color
I 	1	23037639	969696	Grape	12	252525
II	1	18779884	969696	Grape	12	252525
III	1	19341862	969696	Grape	12	252525
IV	1	23867706	969696	Grape	12	252525
V	1	25021643	969696	Grape	12	252525
VI	1	21508407	0ab276	Grape	12	252525
VII	1	21026613	969696	Grape	12	252525
VIII	1	22385789	0080cc	Grape	12	252525
IX	1	23006712	969696	Grape	12	252525
X	1	18140952	e64e60	Grape	12	252525
XI	1	19818926	969696	Grape	12	252525
XII	1	22702307	969696	Grape	12	252525
XIII	1	24396255	969696	Grape	12	252525
XIV	1	30274277	969696	Grape	12	252525
XV	1	20304914	969696	Grape	12	252525
XVI	1	22053297	969696	Grape	12	252525
XVII	1	17126926	969696	Grape	12	252525
XVIII	1	29360087	969696	Grape	12	252525
XIX	1	24021853	969696	Grape	12	252525
I	1	49766455	636363	Populus	12	252525
II	1	24898346	636363	Populus	12	252525
III	1	21501867	636363	Populus	12	252525
IV	1	23916739	636363	Populus	12	252525
V	1	25890704	636363	Populus	12	252525
VI	1	27912125	636363	Populus	12	252525
VII	1	15610913	636363	Populus	12	252525
VIII	1	19465461	636363	Populus	12	252525
IX	1	12948742	636363	Populus	12	252525
X	1	22580532	636363	Populus	12	252525
XI	1	18501271	636363	Populus	12	252525
XII	1	15760346	636363	Populus	12	252525
XIII	1	16320717	636363	Populus	12	252525
XIV	1	18920894	636363	Populus	12	252525
XV	1	15278577	636363	Populus	12	252525
XVI	1	14494361	636363	Populus	12	252525
XVII	1	16080358	636363	Populus	12	252525
XVIII	1	16958300	636363	Populus	12	252525
XIX	1	15942145	636363	Populus	12	252525
