Chr	Start	End	fill	species	size	color
NA	1	15980527	fcb06b	Amborella	10	fcb06b
NA	1	11522362	fcb06b	Amborella	10	fcb06b
NA	1	11085951	fcb06b	Amborella	10	fcb06b
NA	1	10537363	fcb06b	Amborella	10	fcb06b
NA	1	9585472	fcb06b	Amborella	10	fcb06b
NA	1	9414115	fcb06b	Amborella	10	fcb06b
NA	1	9499498	fcb06b	Amborella	10	fcb06b
NA	1	9263929	fcb06b	Amborella	10	fcb06b
NA	1	9389330	fcb06b	Amborella	10	fcb06b
10	1	9150321	fcb06b	Amborella	10	fcb06b
NA	1	8972411	fcb06b	Amborella	10	fcb06b
NA	1	8757819	fcb06b	Amborella	10	fcb06b
NA	1	8123900	fcb06b	Amborella	10	fcb06b
NA	1	7564463	fcb06b	Amborella	10	fcb06b
NA	1	7405751	fcb06b	Amborella	10	fcb06b
NA	1	7691136	fcb06b	Amborella	10	fcb06b
NA	1	7341449	fcb06b	Amborella	10	fcb06b
NA	1	7303130	fcb06b	Amborella	10	fcb06b
NA	1	7204098	fcb06b	Amborella	10	fcb06b
20	1	6874971	fcb06b	Amborella	10	fcb06b
NA	1	6860876	fcb06b	Amborella	10	fcb06b
NA	1	6709877	fcb06b	Amborella	10	fcb06b
NA	1	6666511	fcb06b	Amborella	10	fcb06b
NA	1	6726419	fcb06b	Amborella	10	fcb06b
NA	1	6368207	fcb06b	Amborella	10	fcb06b
NA	1	6376714	fcb06b	Amborella	10	fcb06b
NA	1	6196301	fcb06b	Amborella	10	fcb06b
NA	1	6207899	fcb06b	Amborella	10	fcb06b
NA	1	6285685	fcb06b	Amborella	10	fcb06b
30	1	6134549	fcb06b	Amborella	10	fcb06b
NA	1	5744721	fcb06b	Amborella	10	fcb06b
NA	1	5900637	fcb06b	Amborella	10	fcb06b
NA	1	5890588	fcb06b	Amborella	10	fcb06b
NA	1	5737664	fcb06b	Amborella	10	fcb06b
NA	1	5595234	fcb06b	Amborella	10	fcb06b
NA	1	5613473	fcb06b	Amborella	10	fcb06b
NA	1	5431939	fcb06b	Amborella	10	fcb06b
NA	1	5499001	fcb06b	Amborella	10	fcb06b
NA	1	5379737	fcb06b	Amborella	10	fcb06b
40	1	5311347	fcb06b	Amborella	10	fcb06b
NA	1	5369156	fcb06b	Amborella	10	fcb06b
NA	1	5115746	fcb06b	Amborella	10	fcb06b
NA	1	5098829	fcb06b	Amborella	10	fcb06b
NA	1	5106096	fcb06b	Amborella	10	fcb06b
NA	1	5143656	fcb06b	Amborella	10	fcb06b
NA	1	5158861	fcb06b	Amborella	10	fcb06b
NA	1	4990407	fcb06b	Amborella	10	fcb06b
NA	1	5155698	fcb06b	Amborella	10	fcb06b
NA	1	5090928	fcb06b	Amborella	10	fcb06b
50	1	4903570	fcb06b	Amborella	10	fcb06b
NA	1	4861392	fcb06b	Amborella	10	fcb06b
NA	1	4904977	fcb06b	Amborella	10	fcb06b
NA	1	4927027	fcb06b	Amborella	10	fcb06b
NA	1	4818897	fcb06b	Amborella	10	fcb06b
NA	1	4791638	fcb06b	Amborella	10	fcb06b
NA	1	4878105	fcb06b	Amborella	10	fcb06b
NA	1	4629110	fcb06b	Amborella	10	fcb06b
NA	1	4552514	fcb06b	Amborella	10	fcb06b
NA	1	4412546	fcb06b	Amborella	10	fcb06b
60	1	4476844	fcb06b	Amborella	10	fcb06b
NA	1	4329289	fcb06b	Amborella	10	fcb06b
NA	1	4280439	fcb06b	Amborella	10	fcb06b
NA	1	4312147	fcb06b	Amborella	10	fcb06b
NA	1	4206236	fcb06b	Amborella	10	fcb06b
NA	1	4238611	fcb06b	Amborella	10	fcb06b
NA	1	3926670	fcb06b	Amborella	10	fcb06b
NA	1	3941259	fcb06b	Amborella	10	fcb06b
NA	1	3967838	fcb06b	Amborella	10	fcb06b
NA	1	3857696	fcb06b	Amborella	10	fcb06b
70	1	3733942	fcb06b	Amborella	10	fcb06b
