id	biological_process	cellular_component	molecular_function
gene_1	GO:0003181(atrioventricular valve morphogenesis);GO:0003128(heart field specification);GO:0001756(somitogenesis)	GO:0005576(extracellular region)	NA
gene_2	NA	GO:0005615(extracellular space)	GO:0004866(endopeptidase inhibitor activity)
gene_3	NA	NA	NA
gene_4	GO:0003181(atrioventricular valve morphogenesis);GO:0003128(heart field specification);GO:0001756(somitogenesis)	GO:0005576(extracellular region)	NA
gene_5	GO:0006956(complement activation)	GO:0005579(membrane attack complex)	NA
gene_6	NA	NA	NA
gene_7	NA	NA	NA
gene_8	NA	NA	NA
gene_9	NA	NA	GO:0004252(serine-type endopeptidase activity)
gene_10	NA	NA	NA
gene_11	NA	NA	NA
gene_12	GO:0000028(ribosomal small subunit assembly)	GO:0022627(cytosolic small ribosomal subunit)	GO:0003735(structural constituent of ribosome)
gene_13	NA	NA	NA
gene_14	NA	NA	NA
gene_15	GO:0006811(ion transport);GO:0055072(iron ion homeostasis)	GO:0005615(extracellular space)	GO:0046872(metal ion binding)
gene_16	GO:0006412(translation);GO:0007420(brain development);GO:0051726(regulation of cell cycle)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_17	NA	NA	NA
gene_18	NA	GO:0016021(integral component of membrane)	NA
gene_19	NA	NA	NA
gene_20	GO:0006465(signal peptide processing)	GO:0016021(integral component of membrane);GO:0005787(signal peptidase complex)	GO:0008233(peptidase activity)
gene_21	NA	NA	NA
gene_22	GO:0006011(UDP-glucose metabolic process)	NA	GO:0003983(UTP:glucose-1-phosphate uridylyltransferase activity)
gene_23	NA	NA	NA
gene_24	NA	NA	NA
gene_25	NA	NA	GO:0003730(mRNA 3'-UTR binding)
gene_26	NA	NA	NA
gene_27	NA	NA	GO:0003824(catalytic activity)
gene_28	GO:0071542(dopaminergic neuron differentiation);GO:0045892(negative regulation of transcription, DNA-templated)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0046983(protein dimerization activity)
gene_29	NA	NA	GO:0000062(fatty-acyl-CoA binding)
gene_30	NA	NA	NA
gene_31	NA	NA	NA
gene_32	NA	NA	NA
gene_33	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
gene_34	NA	NA	NA
gene_35	GO:0043009(chordate embryonic development);GO:0055113(epiboly involved in gastrulation with mouth forming second);GO:0000280(nuclear division)	NA	NA
gene_36	NA	GO:0016021(integral component of membrane)	GO:0022857(transmembrane transporter activity)
gene_37	NA	NA	NA
gene_38	NA	NA	GO:0004364(glutathione transferase activity)
gene_39	NA	NA	NA
gene_40	NA	GO:0005576(extracellular region)	GO:0046872(metal ion binding)
gene_41	NA	NA	NA
gene_42	GO:0015986(ATP synthesis coupled proton transport)	GO:0016021(integral component of membrane);GO:0045263(proton-transporting ATP synthase complex, coupling factor F(o))	GO:0008289(lipid binding);GO:0015078(proton transmembrane transporter activity)
gene_43	NA	NA	NA
gene_44	NA	NA	NA
gene_45	NA	NA	NA
gene_46	GO:0046849(bone remodeling)	GO:0005576(extracellular region)	NA
gene_47	NA	GO:0016021(integral component of membrane);GO:0005634(nucleus)	GO:0003677(DNA binding)
gene_48	NA	GO:0005853(eukaryotic translation elongation factor 1 complex)	GO:0003746(translation elongation factor activity)
gene_49	NA	NA	GO:0003723(RNA binding)
gene_50	NA	NA	NA
gene_51	NA	NA	NA
gene_52	NA	NA	NA
gene_53	NA	NA	NA
gene_54	NA	NA	NA
gene_55	GO:0001525(angiogenesis);GO:1902262(apoptotic process involved in blood vessel morphogenesis);GO:0043066(negative regulation of apoptotic process);GO:0009617(response to bacterium)	GO:0005615(extracellular space)	NA
