Species_1	Start_2	End_2	Species_2	Start_1	End_1	fill	type
1	4761181	2609697	1	342802	981451	cccccc	1
6	6344197	8074393	1	15387184	16716190	cccccc	1
10	6457890	9052487	1	11224953	14959548	cccccc	1
13	6318795	1295413	1	20564870	21386271	cccccc	1
16	1398101	2884119	1	21108654	22221088	cccccc	1
16	1482529	2093625	1	21864494	22364888	cccccc	1
16	4950376	2630615	1	21855982	22442015	cccccc	1
29	875321	2679376	1	15898501	18558676	cccccc	1
29	1782773	1091545	1	16552575	18909678	cccccc	1
58	3762683	2714896	1	7963567	8728580	cccccc	1
77	1970337	1009019	1	334518	981451	cccccc	1
78	696846	1827794	1	10409284	11033468	cccccc	1
79	165033	3350617	1	3100945	3664804	cccccc	1
88	734411	1445080	1	9040679	9657254	cccccc	1
88	1010268	2120718	1	8993113	9725394	cccccc	1
9	4449298	8130614	2	2794278	3744177	cccccc	1
11	8829257	6309064	2	17687949	18751691	cccccc	1
48	478183	2076404	2	7918085	12696794	cccccc	1
48	3998007	3393497	2	16327359	17198277	cccccc	1
48	1836388	1208276	2	8161666	10276842	cccccc	1
48	561163	34105	2	5557832	6111433	cccccc	1
69	642083	3740038	2	3662441	4478030	cccccc	1
1	3698435	6887875	3	2231929	2764553	cccccc	1
46	3561445	5125449	3	9826460	11140400	cccccc	1
59	4327598	1640573	3	4643010	5489566	cccccc	1
2	11122263	9743408	4	324794	1127582	cccccc	1
19	2493532	3187921	4	6678208	8711285	cccccc	1
19	3442004	2235391	4	7704892	8966253	cccccc	1
22	2474042	1227832	4	23068735	23783516	cccccc	1
30	1018802	2056131	4	21315506	22125097	cccccc	1
33	2056042	3992066	4	5890296	6447007	cccccc	1
33	3466639	2095594	4	4415933	4922210	cccccc	1
44	118083	647062	4	9378968	10921085	cccccc	1
59	1398857	140924	4	17821355	18393517	cccccc	1
59	2780973	1073680	4	17400740	18199820	cccccc	1
69	2445024	1200757	4	21552038	23408794	cccccc	1
2	8568115	9274650	5	5849795	6376906	cccccc	1
2	11410600	7642815	5	5426792	7078360	cccccc	1
3	3081105	4031113	5	1950534	2563987	cccccc	1
3	1377886	78588	5	389645	957146	cccccc	1
3	4144266	2626548	5	2122067	2665889	cccccc	1
5	2023366	3644377	5	19080417	19814090	cccccc	1
9	3495582	1714193	5	7082504	7952867	cccccc	1
25	3593542	4645879	5	487900	1188028	cccccc	1
25	2135550	306285	5	4007459	4603784	cccccc	1
39	5363595	4280684	5	9227788	10296788	cccccc	1
45	651018	2478132	5	2414688	2954512	cccccc	1
57	3515338	2806895	5	3254427	3795853	cccccc	1
66	2124331	921718	5	24385744	24945697	cccccc	1
67	115966	1540095	5	8075776	8700287	cccccc	1
67	2624458	3937932	5	8724770	9230583	cccccc	1
24	3047376	2298261	6	1036681	1688125	cccccc	1
22	2808760	6619994	6	1440120	2595923	cccccc	1
12	2592073	7566443	6	5376119	6171518	cccccc	1
29	3039990	6025596	6	6544820	7352026	cccccc	1
30	3511710	1510954	6	6811194	7386408	cccccc	1
2	7028261	6200129	6	7980662	8585757	cccccc	1
77	1690498	3392221	6	8918336	11387097	cccccc	1
92	1757551	544403	6	9055378	12567676	cccccc	1
30	2449102	3411354	6	10566868	11425360	cccccc	1
61	3049299	1552542	6	10694309	13816870	cccccc	1
63	3607061	1006399	6	16433313	17064976	cccccc	1
53	733931	3769060	6	16610144	17317439	cccccc	1
