Chr	Start	End	Value
1	1	1000000	65
1	1000001	2000000	76
1	2000001	3000000	35
1	3000001	4000000	30
1	4000001	5000000	10
1	5000001	6000000	10
1	6000001	7000000	31
1	7000001	8000000	19
1	8000001	9000000	30
1	9000001	10000000	33
1	10000001	11000000	25
1	11000001	12000000	43
1	12000001	13000000	39
1	13000001	14000000	34
1	14000001	15000000	4
1	15000001	16000000	43
1	16000001	17000000	55
1	17000001	18000000	16
1	18000001	19000000	16
1	19000001	20000000	27
1	20000001	21000000	31
1	21000001	22000000	27
1	22000001	23000000	29
1	23000001	24000000	42
1	24000001	25000000	24
1	25000001	26000000	37
1	26000001	27000000	52
1	27000001	28000000	47
1	28000001	29000000	43
1	29000001	30000000	14
1	30000001	31000000	15
1	31000001	32000000	33
1	32000001	33000000	47
1	33000001	34000000	22
1	34000001	35000000	16
1	35000001	36000000	27
1	36000001	37000000	25
1	37000001	38000000	38
1	38000001	39000000	23
1	39000001	40000000	35
1	40000001	41000000	37
1	41000001	42000000	14
1	42000001	43000000	38
1	43000001	44000000	40
1	44000001	45000000	44
1	45000001	46000000	29
1	46000001	47000000	36
1	47000001	48000000	25
1	48000001	49000000	16
1	49000001	50000000	6
1	50000001	51000000	19
1	51000001	52000000	31
1	52000001	53000000	42
1	53000001	54000000	34
1	54000001	55000000	35
1	55000001	56000000	14
1	56000001	57000000	16
1	57000001	58000000	3
1	58000001	59000000	18
1	59000001	60000000	12
1	60000001	61000000	6
1	61000001	62000000	9
1	62000001	63000000	22
1	63000001	64000000	29
1	64000001	65000000	14
1	65000001	66000000	20
1	66000001	67000000	11
1	67000001	68000000	19
1	68000001	69000000	18
1	69000001	70000000	7
1	70000001	71000000	17
1	71000001	72000000	10
1	72000001	73000000	8
1	73000001	74000000	7
1	74000001	75000000	13
1	75000001	76000000	18
1	76000001	77000000	8
1	77000001	78000000	22
1	78000001	79000000	17
1	79000001	80000000	6
1	80000001	81000000	11
1	81000001	82000000	14
1	82000001	83000000	2
1	83000001	84000000	7
1	84000001	85000000	25
1	85000001	86000000	19
1	86000001	87000000	18
1	87000001	88000000	10
1	88000001	89000000	13
1	89000001	90000000	28
1	90000001	91000000	10
1	91000001	92000000	11
1	92000001	93000000	30
1	93000001	94000000	30
1	94000001	95000000	17
1	95000001	96000000	15
1	96000001	97000000	11
1	97000001	98000000	9
1	98000001	99000000	8
1	99000001	100000000	15
1	100000001	101000000	33
1	101000001	102000000	16
1	102000001	103000000	2
1	103000001	104000000	15
1	104000001	105000000	2
1	105000001	106000000	6
1	106000001	107000000	8
1	107000001	108000000	6
1	108000001	109000000	29
1	109000001	110000000	44
1	110000001	111000000	37
1	111000001	112000000	41
1	112000001	113000000	24
1	113000001	114000000	20
1	114000001	115000000	22
1	115000001	116000000	19
1	116000001	117000000	25
1	117000001	118000000	21
1	118000001	119000000	5
1	119000001	120000000	36
1	120000001	121000000	19
1	121000001	122000000	21
1	122000001	123000000	0
1	123000001	124000000	0
1	124000001	125000000	0
1	125000001	126000000	0
1	126000001	127000000	0
1	127000001	128000000	0
1	128000001	129000000	0
1	129000001	130000000	0
1	130000001	131000000	0
1	131000001	132000000	0
1	132000001	133000000	0
1	133000001	134000000	0
1	134000001	135000000	0
1	135000001	136000000	0
1	136000001	137000000	0
1	137000001	138000000	0
1	138000001	139000000	0
1	139000001	140000000	0
1	140000001	141000000	0
1	141000001	142000000	0
1	142000001	143000000	0
1	143000001	144000000	32
1	144000001	145000000	26
1	145000001	146000000	40
1	146000001	147000000	19
1	147000001	148000000	29
