chr	po	Gene	Basal	Her2	LumA	LumB	Normal
1	212873846	CENPF	0.482976288	-0.02926616	-0.543740234	0.278228556	-0.070583075
1	120072157	PHGDH	0.63451887	-0.186625862	-0.398682234	-1.030139318	0.660437753
1	43599336	CDC20	0.399695242	0.00835552	-0.46904401	-0.070412466	-0.04550481
1	44992051	KIF2C	0.20357258	-0.165102048	-0.505394668	-0.182890713	-0.390014484
1	161575262	NUF2	0.472400168	-0.023819207	-0.712520819	0.589626883	-0.370533365
1	200572562	UBE2T	0.389908898	0.284536813	-0.539259391	0.738952133	-0.952381005
1	240098990	EXO1	0.428090356	0.049297194	-0.567474505	0.141241282	-0.450780537
2	10184655	RRM2	0.156204676	0.682724889	-0.9507602	0.35066384	-1.12105493
2	238094658	MLPH	-0.339972459	-0.195228658	0.339304418	-0.456149915	0.750758365
3	171262153	GPR160	-1.054974672	0.583194826	0.685489973	0.714407601	-0.423568467
5	68504209	CCNB1	0.191208143	0.135476652	-0.491662114	0.503176358	-0.545269312
5	139025674	CXXC5	-0.920385813	-0.241550612	0.467411571	0.32133502	0.050901436
5	159784883	PTTG1	0.264131894	0.055809895	-0.63446827	0.249725281	-0.54978126
5	176452129	FGFR4	-0.271238025	0.821778152	0.170811925	-0.247036038	0.857472777
6	152259712	ESR1	-2.746513086	-1.513111253	2.161411882	1.605899914	-0.418282349
6	1557404	FOXC1	1.490451472	-0.947174192	-0.17495796	-1.564854964	1.111547864
7	36427941	ANLN	0.537372301	0.266931609	-0.579245716	0.098804179	-0.836939593
7	43789131	BLVRA	-0.642677513	0.335336041	0.042042017	0.691204962	-0.163412812
7	55130225	EGFR	-0.030416849	-0.096382621	0.009162963	-0.412401259	0.341637082
7	152135582	ACTR3B	0.718331891	-0.481665675	0.00998107	-0.190551328	0.465722871
8	18098864	NAT1	-0.936848946	-0.089988492	2.922786792	0.470788042	-0.363273764
8	41262390	SFRP1	0.987988459	-1.048202667	0.131566364	-1.720458262	2.436288668
8	128820179	MYC	0.178763812	-1.046832832	-0.090830821	0.015264397	1.029176203
9	36615269	MELK	0.523033872	0.198013115	-0.582088108	0.44793463	-0.743764676
9	33248614	BAG1	-0.574506867	-0.476072868	0.758221161	-0.405458622	0.316552973
10	95262599	CEP55	0.567748894	0.276381022	-0.746721735	0.460015762	-1.162374186
10	129799686	MKI67	0.476537448	0.06566236	-0.501871622	-0.145217868	-0.166004063
11	100455284	PGR	-0.429133389	-0.279409916	0.445785003	-0.448839844	0.126011482
11	129213029	TMEM45B	-1.109458181	1.330636172	0.446242045	0.375688226	0.036208914
12	67506912	MDM2	-0.251366205	-0.106728681	0.14195743	-0.133779037	0.274214011
12	51197568	KRT5	0.506640416	-0.428261778	0.215320068	-0.91160727	1.785116895
14	37131292	FOXA1	-2.626946721	0.022827151	1.017457421	0.360757795	-0.782812106
16	67263055	CDH3	0.508362012	0.210889692	-0.513649344	-1.419134437	0.757920624
16	45285433	ORC6	0.216304797	0.204402449	-0.352220667	0.11062765	-0.255879493
17	35124110	ERBB2	-0.80835398	1.759844231	0.608191264	0.159651874	-0.870238456
17	41394544	MAPT	-0.425829273	-0.357506541	0.700622718	-0.190340574	0.117828498
17	35153405	GRB7	-0.276128586	1.03065778	0.041568986	0.087750887	0.241710991
17	35705305	CDC6	0.159418279	0.58900682	-0.612824305	0.510895969	-0.595752175
17	37031813	KRT17	0.482565528	-0.337837101	0.014209862	-1.463742934	1.759598437
17	36994365	KRT14	0.096826723	-0.443646142	0.368375943	-0.639446966	1.73568631
17	73727591	BIRC5	0.300488641	0.405733099	-0.881434366	0.603850777	-0.876636424
18	655551	TYMS	0.449800897	0.052944897	-0.644602075	0.492606521	-0.726989454
18	59039576	BCL2	-0.11876043	-0.157913959	0.28748744	-0.441339498	0.533978871
18	2584072	NDC80	0.600356167	0.042546792	-0.588220989	0.386706844	-1.06962886
18	31952923	SLC39A6	-1.051125052	-0.695736457	2.061459075	1.653303022	0.116889694
19	35000898	CCNE1	0.560271028	0.066872232	-0.430291227	-0.01666143	-0.255476058
19	45974180	MIA	1.578276368	-0.904898621	-0.165258584	-1.422926267	2.038859556
20	41753829	MYBL2	0.389893452	0.20526358	-0.843569931	0.46728199	-0.601704754
20	43876832	UBE2C	0.218534147	0.061080598	-0.519818399	0.292799306	-0.408894685
22	22450769	MMP11	-0.556037672	0.50675876	-0.00625509	0.334199309	-2.326985119
