id	kegg_pathway
gene_1	ko04810(Regulation of actin cytoskeleton);ko04510(Focal adhesion);ko04151(PI3K-Akt signaling pathway);ko04512(ECM-receptor interaction)
gene_2	ko04610(Complement and coagulation cascades)
gene_3	ko04810(Regulation of actin cytoskeleton);ko04510(Focal adhesion);ko04151(PI3K-Akt signaling pathway);ko04512(ECM-receptor interaction)
gene_4	ko04810(Regulation of actin cytoskeleton);ko04510(Focal adhesion);ko04151(PI3K-Akt signaling pathway);ko04512(ECM-receptor interaction)
gene_5	ko04610(Complement and coagulation cascades)
gene_6	ko04142(Lysosome)
gene_7	NA
gene_8	ko04810(Regulation of actin cytoskeleton);ko04510(Focal adhesion);ko04151(PI3K-Akt signaling pathway);ko04512(ECM-receptor interaction)
gene_9	ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
gene_10	NA
gene_11	ko04610(Complement and coagulation cascades)
gene_12	NA
gene_13	NA
gene_14	NA
gene_15	ko04216(Ferroptosis);ko04066(HIF-1 signaling pathway);ko04978(Mineral absorption)
gene_16	ko03010(Ribosome)
gene_17	NA
gene_18	ko00190(Oxidative phosphorylation);ko04723(Retrograde endocannabinoid signaling)
gene_19	NA
gene_20	ko03060(Protein export)
gene_21	ko00480(Glutathione metabolism);ko00982(Drug metabolism - cytochrome P450);ko00980(Metabolism of xenobiotics by cytochrome P450)
gene_22	ko00520(Amino sugar and nucleotide sugar metabolism);ko00052(Galactose metabolism);ko00040(Pentose and glucuronate interconversions);ko00500(Starch and sucrose metabolism)
gene_23	NA
gene_24	ko04810(Regulation of actin cytoskeleton);ko04510(Focal adhesion);ko04151(PI3K-Akt signaling pathway);ko04512(ECM-receptor interaction)
gene_25	ko04810(Regulation of actin cytoskeleton);ko04510(Focal adhesion);ko04151(PI3K-Akt signaling pathway);ko04512(ECM-receptor interaction)
gene_26	ko03010(Ribosome)
gene_27	NA
gene_28	ko04550(Signaling pathways regulating pluripotency of stem cells);ko04350(TGF-beta signaling pathway)
gene_29	ko03320(PPAR signaling pathway)
gene_30	NA
gene_31	ko03320(PPAR signaling pathway)
gene_32	NA
gene_33	ko03010(Ribosome)
gene_34	NA
